year,kind,global_type,global_events,jerusalem_visible_events,visibility_denominator,status
1900,solar,P,0,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1900,solar,A,1,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1900,solar,T,1,1,all global events of this source type/year; fixed Jerusalem point,past modeled year
1900,solar,H,0,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1900,lunar,N,2,1,all global events of this source type/year; fixed Jerusalem point,past modeled year
1900,lunar,P,0,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1900,lunar,T,0,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1901,solar,P,0,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1901,solar,A,1,1,all global events of this source type/year; fixed Jerusalem point,past modeled year
1901,solar,T,1,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1901,solar,H,0,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1901,lunar,N,1,1,all global events of this source type/year; fixed Jerusalem point,past modeled year
1901,lunar,P,1,1,all global events of this source type/year; fixed Jerusalem point,past modeled year
1901,lunar,T,0,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1902,solar,P,3,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1902,solar,A,0,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1902,solar,T,0,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1902,solar,H,0,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1902,lunar,N,0,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1902,lunar,P,0,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1902,lunar,T,2,2,all global events of this source type/year; fixed Jerusalem point,past modeled year
1903,solar,P,0,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1903,solar,A,1,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1903,solar,T,1,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1903,solar,H,0,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1903,lunar,N,0,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1903,lunar,P,2,2,all global events of this source type/year; fixed Jerusalem point,past modeled year
1903,lunar,T,0,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1904,solar,P,0,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1904,solar,A,1,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1904,solar,T,1,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1904,solar,H,0,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1904,lunar,N,3,2,all global events of this source type/year; fixed Jerusalem point,past modeled year
1904,lunar,P,0,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1904,lunar,T,0,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1905,solar,P,0,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1905,solar,A,1,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1905,solar,T,1,1,all global events of this source type/year; fixed Jerusalem point,past modeled year
1905,solar,H,0,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1905,lunar,N,0,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1905,lunar,P,2,2,all global events of this source type/year; fixed Jerusalem point,past modeled year
1905,lunar,T,0,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1906,solar,P,3,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1906,solar,A,0,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1906,solar,T,0,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1906,solar,H,0,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1906,lunar,N,0,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1906,lunar,P,0,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1906,lunar,T,2,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
1907,solar,P,0,0,all global events of this source type/year; fixed Jerusalem point,past modeled year
