event_id,kind,catalog_number,catalog_date_td,greatest_td,global_type,source_type_code,type_qualifier,delta_t_seconds,greatest_ut1,lunation_number,saros,quincena,gamma_earth_radii,source_url,source_sha256,source_century,time_scale,source_row,global_magnitude,greatest_latitude_deg,greatest_longitude_deg,greatest_sun_altitude_deg,path_width_km,central_duration_seconds,penumbral_magnitude,umbral_magnitude,penumbral_duration_seconds,umbral_duration_seconds,total_duration_seconds
solar-09281,solar,09281,1900-05-28,1900-05-28T14:53:56,T,T,,-2.0,1900-05-28T14:53:58,-1232,126,-n,0.3943,https://eclipse.gsfc.nasa.gov/SEcat5/SE1801-1900.html,fad2174dd56b9c663db73975a83bedc1136a4bb3a79248f6ff0fcab9f51a848f,1801-1900,catalog TD and modeled UT1; not exact UTC,09281  1900 May 28  14:53:56     -2  -1232  126   T   -n   0.3943  1.0249  45N  46W  67   92  02m10s,1.0249,45.0,-46.0,67.0,92.0,130,,,,,
lunar-09420,lunar,09420,1900-06-13,1900-06-13T03:27:37,N,Nx,x,-2.0,1900-06-13T03:27:39,-1232,138,t-,1.0134,https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html,56be857a3c5c7088d2cc8f6370684ebabc61bb97b3209ee13602c9f1173cce34,1801-1900,catalog TD and modeled UT1; not exact UTC,09420  1900 Jun 13  03:27:37     -2  -1232  138   Nx  t-   1.0134  1.0010 -0.0040  261.9    -      -     22S   52W,,-22.0,-52.0,,,,1.001,-0.004,15713.999999999998,,
solar-09282,solar,09282,1900-11-22,1900-11-22T07:19:43,A,A,,-2.0,1900-11-22T07:19:45,-1226,131,-n,-0.2245,https://eclipse.gsfc.nasa.gov/SEcat5/SE1801-1900.html,fad2174dd56b9c663db73975a83bedc1136a4bb3a79248f6ff0fcab9f51a848f,1801-1900,catalog TD and modeled UT1; not exact UTC,09282  1900 Nov 22  07:19:43     -2  -1226  131   A   -n  -0.2245  0.9421  33S  65E  77  220  06m42s,0.9421,-33.0,65.0,77.0,220.0,402,,,,,
lunar-09421,lunar,09421,1900-12-06,1900-12-06T10:26:29,N,N,,-1.0,1900-12-06T10:26:30,-1226,143,a-,-1.1125,https://eclipse.gsfc.nasa.gov/LEcat5/LE1801-1900.html,56be857a3c5c7088d2cc8f6370684ebabc61bb97b3209ee13602c9f1173cce34,1801-1900,catalog TD and modeled UT1; not exact UTC,09421  1900 Dec 06  10:26:29     -1  -1226  143   N   a-  -1.1125  0.8183 -0.1851  233.7    -      -     21N  159W,,21.0,-159.0,,,,0.8183,-0.1851,14022.0,,
lunar-09422,lunar,09422,1901-05-03,1901-05-03T18:30:38,N,Nx,x,-1.0,1901-05-03T18:30:39,-1221,110,-t,-1.0101,https://eclipse.gsfc.nasa.gov/LEcat5/LE1901-2000.html,972e37819ec3f8e8b3f48fd38a06984636f6733812a1fa2557e25600d2204532,1901-2000,catalog TD and modeled UT1; not exact UTC,09422  1901 May 03  18:30:38     -1  -1221  110   Nx  -t  -1.0101  1.0431 -0.0334  288.2    -      -     17S   81E,,-17.0,81.0,,,,1.0431,-0.0334,17292.0,,
solar-09283,solar,09283,1901-05-18,1901-05-18T05:33:48,T,T,,-1.0,1901-05-18T05:33:49,-1220,136,n-,-0.3626,https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html,1daf90d8b3f1763a09b45cc0d838150fc09edbef711fe1be80f2e0c0d8f6d5ff,1901-2000,catalog TD and modeled UT1; not exact UTC,09283  1901 May 18  05:33:48     -1  -1220  136   T   n-  -0.3626  1.0680   2S  98E  69  238  06m29s,1.068,-2.0,98.0,69.0,238.0,389,,,,,
lunar-09423,lunar,09423,1901-10-27,1901-10-27T15:15:18,P,P,,-0.0,1901-10-27T15:15:18,-1215,115,-a,0.9021,https://eclipse.gsfc.nasa.gov/LEcat5/LE1901-2000.html,972e37819ec3f8e8b3f48fd38a06984636f6733812a1fa2557e25600d2204532,1901-2000,catalog TD and modeled UT1; not exact UTC,09423  1901 Oct 27  15:15:18     -0  -1215  115   P   -a   0.9021  1.1841  0.2208  259.6   99.4    -     14N  127E,,14.0,127.0,,,,1.1841,0.2208,15576.000000000002,5964.0,
solar-09284,solar,09284,1901-11-11,1901-11-11T07:28:21,A,A,,-0.0,1901-11-11T07:28:21,-1214,141,p-,0.4758,https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html,1daf90d8b3f1763a09b45cc0d838150fc09edbef711fe1be80f2e0c0d8f6d5ff,1901-2000,catalog TD and modeled UT1; not exact UTC,09284  1901 Nov 11  07:28:21     -0  -1214  141   A   p-   0.4758  0.9216  11N  69E  62  336  11m01s,0.9216,11.0,69.0,62.0,336.0,661,,,,,
solar-09285,solar,09285,1902-04-08,1902-04-08T14:05:06,P,Pe,e,0.0,1902-04-08T14:05:06,-1209,108,-t,1.5024,https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html,1daf90d8b3f1763a09b45cc0d838150fc09edbef711fe1be80f2e0c0d8f6d5ff,1901-2000,catalog TD and modeled UT1; not exact UTC,09285  1902 Apr 08  14:05:06      0  -1209  108   Pe  -t   1.5024  0.0643  72N 142W   0,0.0643,72.0,-142.0,0.0,,,,,,,
lunar-09424,lunar,09424,1902-04-22,1902-04-22T18:52:40,T,T-,-,0.0,1902-04-22T18:52:40,-1209,120,pp,-0.268,https://eclipse.gsfc.nasa.gov/LEcat5/LE1901-2000.html,972e37819ec3f8e8b3f48fd38a06984636f6733812a1fa2557e25600d2204532,1901-2000,catalog TD and modeled UT1; not exact UTC,09424  1902 Apr 22  18:52:40      0  -1209  120   T-  pp  -0.2680  2.4002  1.3327  364.3  224.6   84.6   12S   76E,,-12.0,76.0,,,,2.4002,1.3327,21858.0,13476.0,5076.0
solar-09286,solar,09286,1902-05-07,1902-05-07T22:34:16,P,P,,0.0,1902-05-07T22:34:16,-1208,146,t-,-1.0831,https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html,1daf90d8b3f1763a09b45cc0d838150fc09edbef711fe1be80f2e0c0d8f6d5ff,1901-2000,catalog TD and modeled UT1; not exact UTC,09286  1902 May 07  22:34:16      0  -1208  146   P   t-  -1.0831  0.8593  70S 125W   0,0.8593,-70.0,-125.0,0.0,,,,,,,
lunar-09425,lunar,09425,1902-10-17,1902-10-17T06:03:26,T,T+,+,1.0,1902-10-17T06:03:25,-1203,125,-p,0.2201,https://eclipse.gsfc.nasa.gov/LEcat5/LE1901-2000.html,972e37819ec3f8e8b3f48fd38a06984636f6733812a1fa2557e25600d2204532,1901-2000,catalog TD and modeled UT1; not exact UTC,09425  1902 Oct 17  06:03:26      1  -1203  125   T+  -p   0.2201  2.4514  1.4566  330.4  212.3   88.8    9N   95W,,9.0,-95.0,,,,2.4514,1.4566,19824.0,12738.0,5328.0
solar-09287,solar,09287,1902-10-31,1902-10-31T08:00:18,P,P,,1.0,1902-10-31T08:00:17,-1202,151,t-,1.1556,https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html,1daf90d8b3f1763a09b45cc0d838150fc09edbef711fe1be80f2e0c0d8f6d5ff,1901-2000,catalog TD and modeled UT1; not exact UTC,09287  1902 Oct 31  08:00:18      1  -1202  151   P   t-   1.1556  0.6960  71N 101E   0,0.696,71.0,101.0,0.0,,,,,,,
solar-09288,solar,09288,1903-03-29,1903-03-29T01:35:23,A,A,,2.0,1903-03-29T01:35:21,-1197,118,-p,0.8413,https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html,1daf90d8b3f1763a09b45cc0d838150fc09edbef711fe1be80f2e0c0d8f6d5ff,1901-2000,catalog TD and modeled UT1; not exact UTC,09288  1903 Mar 29  01:35:23      2  -1197  118   A   -p   0.8413  0.9767  56N 130E  32  153  01m53s,0.9767,56.0,130.0,32.0,153.0,113,,,,,
lunar-09426,lunar,09426,1903-04-12,1903-04-12T00:12:59,P,P,,2.0,1903-04-12T00:12:57,-1197,130,a-,0.4798,https://eclipse.gsfc.nasa.gov/LEcat5/LE1901-2000.html,972e37819ec3f8e8b3f48fd38a06984636f6733812a1fa2557e25600d2204532,1901-2000,catalog TD and modeled UT1; not exact UTC,09426  1903 Apr 12  00:12:59      2  -1197  130   P   a-   0.4798  1.9877  0.9677  330.1  196.5    -      8S    3W,,-8.0,-3.0,,,,1.9877,0.9677,19806.0,11790.0,
solar-09289,solar,09289,1903-09-21,1903-09-21T04:39:52,T,T,,2.0,1903-09-21T04:39:50,-1191,123,-p,-0.8967,https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html,1daf90d8b3f1763a09b45cc0d838150fc09edbef711fe1be80f2e0c0d8f6d5ff,1901-2000,catalog TD and modeled UT1; not exact UTC,09289  1903 Sep 21  04:39:52      2  -1191  123   T   -p  -0.8967  1.0316  58S  77E  26  241  02m12s,1.0316,-58.0,77.0,26.0,241.0,132,,,,,
lunar-09427,lunar,09427,1903-10-06,1903-10-06T15:17:33,P,P,,2.0,1903-10-06T15:17:31,-1191,135,t-,-0.528,https://eclipse.gsfc.nasa.gov/LEcat5/LE1901-2000.html,972e37819ec3f8e8b3f48fd38a06984636f6733812a1fa2557e25600d2204532,1901-2000,catalog TD and modeled UT1; not exact UTC,09427  1903 Oct 06  15:17:33      2  -1191  135   P   t-  -0.5280  1.9133  0.8654  337.5  193.7    -      4N  128E,,4.0,128.0,,,,1.9133,0.8654,20250.0,11622.0,
lunar-09428,lunar,09428,1904-03-02,1904-03-02T03:02:34,N,N,,3.0,1904-03-02T03:02:31,-1186,102,-a,-1.4528,https://eclipse.gsfc.nasa.gov/LEcat5/LE1901-2000.html,972e37819ec3f8e8b3f48fd38a06984636f6733812a1fa2557e25600d2204532,1901-2000,catalog TD and modeled UT1; not exact UTC,09428  1904 Mar 02  03:02:34      3  -1186  102   N   -a  -1.4528  0.1748 -0.7910  110.5    -      -      6N   43W,,6.0,-43.0,,,,0.1748,-0.791,6630.0,,
solar-09290,solar,09290,1904-03-17,1904-03-17T05:40:44,A,A,,3.0,1904-03-17T05:40:41,-1185,128,nn,0.1299,https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html,1daf90d8b3f1763a09b45cc0d838150fc09edbef711fe1be80f2e0c0d8f6d5ff,1901-2000,catalog TD and modeled UT1; not exact UTC,09290  1904 Mar 17  05:40:44      3  -1185  128   A   nn   0.1299  0.9367   6N  95E  82  237  08m07s,0.9367,6.0,95.0,82.0,237.0,487,,,,,
lunar-09429,lunar,09429,1904-03-31,1904-03-31T12:32:28,N,N,,3.0,1904-03-31T12:32:25,-1185,140,a-,1.1665,https://eclipse.gsfc.nasa.gov/LEcat5/LE1901-2000.html,972e37819ec3f8e8b3f48fd38a06984636f6733812a1fa2557e25600d2204532,1901-2000,catalog TD and modeled UT1; not exact UTC,09429  1904 Mar 31  12:32:28      3  -1185  140   N   a-   1.1665  0.7036 -0.2688  214.2    -      -      3S  173E,,-3.0,173.0,,,,0.7036,-0.2688,12852.0,,
solar-09291,solar,09291,1904-09-09,1904-09-09T20:44:21,T,T,,3.0,1904-09-09T20:44:18,-1179,133,-n,-0.1625,https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html,1daf90d8b3f1763a09b45cc0d838150fc09edbef711fe1be80f2e0c0d8f6d5ff,1901-2000,catalog TD and modeled UT1; not exact UTC,09291  1904 Sep 09  20:44:21      3  -1179  133   T   -n  -0.1625  1.0709   4S 135W  81  234  06m20s,1.0709,-4.0,-135.0,81.0,234.0,380,,,,,
lunar-09430,lunar,09430,1904-09-24,1904-09-24T17:34:44,N,N,,3.0,1904-09-24T17:34:41,-1179,145,t-,-1.2837,https://eclipse.gsfc.nasa.gov/LEcat5/LE1901-2000.html,972e37819ec3f8e8b3f48fd38a06984636f6733812a1fa2557e25600d2204532,1901-2000,catalog TD and modeled UT1; not exact UTC,09430  1904 Sep 24  17:34:44      3  -1179  145   N   t-  -1.2837  0.5440 -0.5384  219.1    -      -      1S   95E,,-1.0,95.0,,,,0.544,-0.5384,13146.0,,
lunar-09431,lunar,09431,1905-02-19,1905-02-19T19:00:02,P,P,,4.0,1905-02-19T18:59:58,-1174,112,-a,-0.7984,https://eclipse.gsfc.nasa.gov/LEcat5/LE1901-2000.html,972e37819ec3f8e8b3f48fd38a06984636f6733812a1fa2557e25600d2204532,1901-2000,catalog TD and modeled UT1; not exact UTC,09431  1905 Feb 19  19:00:02      4  -1174  112   P   -a  -0.7984  1.3809  0.4049  277.2  132.1    -     11N   78E,,11.0,78.0,,,,1.3809,0.4049,16632.0,7926.0,
solar-09292,solar,09292,1905-03-06,1905-03-06T05:12:26,A,A,,4.0,1905-03-06T05:12:22,-1173,138,p-,-0.5768,https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html,1daf90d8b3f1763a09b45cc0d838150fc09edbef711fe1be80f2e0c0d8f6d5ff,1901-2000,catalog TD and modeled UT1; not exact UTC,09292  1905 Mar 06  05:12:26      4  -1173  138   A   p-  -0.5768  0.9269  40S 117E  55  334  07m58s,0.9269,-40.0,117.0,55.0,334.0,478,,,,,
lunar-09432,lunar,09432,1905-08-15,1905-08-15T03:40:59,P,P,,5.0,1905-08-15T03:40:54,-1168,117,-t,0.8456,https://eclipse.gsfc.nasa.gov/LEcat5/LE1901-2000.html,972e37819ec3f8e8b3f48fd38a06984636f6733812a1fa2557e25600d2204532,1901-2000,catalog TD and modeled UT1; not exact UTC,09432  1905 Aug 15  03:40:59      5  -1168  117   P   -t   0.8456  1.3259  0.2871  302.3  123.1    -     14S   54W,,-14.0,-54.0,,,,1.3259,0.2871,18138.0,7386.0,
solar-09293,solar,09293,1905-08-30,1905-08-30T13:07:26,T,T,,5.0,1905-08-30T13:07:21,-1167,143,p-,0.5708,https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html,1daf90d8b3f1763a09b45cc0d838150fc09edbef711fe1be80f2e0c0d8f6d5ff,1901-2000,catalog TD and modeled UT1; not exact UTC,09293  1905 Aug 30  13:07:26      5  -1167  143   T   p-   0.5708  1.0477  42N   4W  55  192  03m46s,1.0477,42.0,-4.0,55.0,192.0,226,,,,,
lunar-09433,lunar,09433,1906-02-09,1906-02-09T07:46:58,T,T-,-,5.0,1906-02-09T07:46:53,-1162,122,-p,-0.1199,https://eclipse.gsfc.nasa.gov/LEcat5/LE1901-2000.html,972e37819ec3f8e8b3f48fd38a06984636f6733812a1fa2557e25600d2204532,1901-2000,catalog TD and modeled UT1; not exact UTC,09433  1906 Feb 09  07:46:58      5  -1162  122   T-  -p  -0.1199  2.6507  1.6254  342.8  219.4   97.8   15N  113W,,15.0,-113.0,,,,2.6507,1.6254,20568.0,13164.0,5868.0
solar-09294,solar,09294,1906-02-23,1906-02-23T07:43:20,P,P,,5.0,1906-02-23T07:43:15,-1161,148,t-,-1.2479,https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html,1daf90d8b3f1763a09b45cc0d838150fc09edbef711fe1be80f2e0c0d8f6d5ff,1901-2000,catalog TD and modeled UT1; not exact UTC,09294  1906 Feb 23  07:43:20      5  -1161  148   P   t-  -1.2479  0.5386  71S 170W   0,0.5386,-71.0,-170.0,0.0,,,,,,,
solar-09295,solar,09295,1906-07-21,1906-07-21T13:14:19,P,P,,6.0,1906-07-21T13:14:13,-1156,115,-t,-1.3637,https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html,1daf90d8b3f1763a09b45cc0d838150fc09edbef711fe1be80f2e0c0d8f6d5ff,1901-2000,catalog TD and modeled UT1; not exact UTC,09295  1906 Jul 21  13:14:19      6  -1156  115   P   -t  -1.3637  0.3355  69S  33W   0,0.3355,-69.0,-33.0,0.0,,,,,,,
lunar-09434,lunar,09434,1906-08-04,1906-08-04T13:00:10,T,T+,+,6.0,1906-08-04T13:00:04,-1156,127,pp,0.0477,https://eclipse.gsfc.nasa.gov/LEcat5/LE1901-2000.html,972e37819ec3f8e8b3f48fd38a06984636f6733812a1fa2557e25600d2204532,1901-2000,catalog TD and modeled UT1; not exact UTC,09434  1906 Aug 04  13:00:10      6  -1156  127   T+  pp   0.0477  2.7615  1.7793  333.9  218.7  101.2   17S  166E,,-17.0,166.0,,,,2.7615,1.7793,20034.0,13122.0,6072.0
solar-09296,solar,09296,1906-08-20,1906-08-20T01:12:50,P,P,,6.0,1906-08-20T01:12:44,-1155,153,t-,1.3731,https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html,1daf90d8b3f1763a09b45cc0d838150fc09edbef711fe1be80f2e0c0d8f6d5ff,1901-2000,catalog TD and modeled UT1; not exact UTC,09296  1906 Aug 20  01:12:50      6  -1155  153   P   t-   1.3731  0.3147  71N  66W   0,0.3147,71.0,-66.0,0.0,,,,,,,
