event_id,kind,catalog_date_td,global_type,element_source,greatest_td,delta_t_seconds,local_geometry_type,local_visible_type,visible,local_maximum_ut1,local_maximum_altitude_deg,local_maximum_azimuth_deg,local_magnitude,local_obscuration,full_local_partial_duration_seconds,visible_partial_duration_seconds,full_local_central_duration_seconds,visible_central_duration_seconds,visible_start_ut1,visible_end_ut1,maximum_at_horizon_flag,location_id,time_scale,prediction_status,full_penumbral_duration_seconds,visible_penumbral_duration_seconds,visible_penumbral_intervals_ut1,full_umbral_duration_seconds,visible_umbral_duration_seconds,visible_umbral_intervals_ut1,full_total_duration_seconds,visible_total_duration_seconds,visible_total_intervals_ut1,maximum_above_model_horizon,penumbral_magnitude,umbral_magnitude
solar-09281,solar,1900-05-28,T,SE1801,1900-05-28T14:53:55.651,-2.2,P,P,True,1900-05-28T16:26:24.504,1.162866515592429,294.7017325734424,0.8162783235562634,0.77,6413.8610476748545,3791.3492309707776,,,1900-05-28T15:30:49.754,1900-05-28T16:34:01.103,0,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,,,,,,,,,,,,
lunar-09420,lunar,1900-06-13,N,LE1801,1900-06-13T03:27:37.411,-2.2,N,N,True,1900-06-13T03:27:39.604,-10.24358239962805,,,,,,,,1900-06-13T01:16:45.088,1900-06-13T02:34:30.820,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,15714.324,4665.732421874996,"[[""1900-06-13T01:16:45.088"", ""1900-06-13T02:34:30.820""]]",,,,,,,False,1.001,-0.004
solar-09282,solar,1900-11-22,A,SE1801,1900-11-22T07:19:42.845,-1.5,none,none,False,,,,,,,0,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,,,,,,,,,,,,
lunar-09421,lunar,1900-12-06,N,LE1801,1900-12-06T10:26:29.357,-1.5,N,none,False,1900-12-06T10:26:30.864,-35.98397101453265,,,,,,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,14023.08,0,[],,,,,,,False,0.818,-0.185
lunar-09422,lunar,1901-05-03,N,LE1901,1901-05-03T18:30:37.642,-0.9,N,N,True,1901-05-03T18:30:38.520,23.723907597037563,,,,,,,,1901-05-03T16:15:28.360,1901-05-03T20:54:46.836,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,17294.58,16758.476484375005,"[[""1901-05-03T16:15:28.360"", ""1901-05-03T20:54:46.836""]]",,,,,,,True,1.043,-0.033
solar-09283,solar,1901-05-18,T,SE1901,1901-05-18T05:33:48.125,-0.9,none,none,False,,,,,,,0,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,,,,,,,,,,,,
lunar-09423,lunar,1901-10-27,P,LE1901,1901-10-27T15:15:17.827,-0.3,P,P,True,1901-10-27T15:15:18.084,4.669522169896115,,,,,,,,1901-10-27T14:50:28.821,1901-10-27T17:25:06.972,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,15575.543999999998,9278.151421875007,"[[""1901-10-27T14:50:28.821"", ""1901-10-27T17:25:06.972""]]",5963.004,4472.115328124999,"[[""1901-10-27T14:50:28.857"", ""1901-10-27T16:05:00.972""]]",,,,True,1.184,0.221
solar-09284,solar,1901-11-11,A,SE1901,1901-11-11T07:28:21.072,-0.2,P,P,True,1901-11-11T05:54:20.656,19.978285165648256,126.59604598098963,0.8763074959088624,0.805,10709.996815514542,10709.996815514542,,,1901-11-11T04:32:47.481,1901-11-11T07:31:17.478,0,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,,,,,,,,,,,,
solar-09285,solar,1902-04-08,P,SE1901,1902-04-08T14:05:06.173,0.3,none,none,False,,,,,,,0,,,,,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,,,,,,,,,,,,
lunar-09424,lunar,1902-04-22,T,LE1901,1902-04-22T18:52:40.166,0.4,T,T,True,1902-04-22T18:52:39.752,30.078533998652,,,,,,,,1902-04-22T16:05:14.136,1902-04-22T21:54:51.296,,jerusalem_nasa_city_point,modeled UT1; not exact UTC,past model prediction; not a sighting record,21858.732,20977.159734375004,"[[""1902-04-22T16:05:14.136"", ""1902-04-22T21:54:51.296""]]",13477.248000000001,13477.248000000001,"[[""1902-04-22T17:00:20.336"", ""1902-04-22T20:44:57.584""]]",5076.468000000001,5076.468000000001,"[[""1902-04-22T18:10:20.924"", ""1902-04-22T19:34:57.392""]]",True,2.4,1.333
