year,index,observed_months,required_months,year_complete
1950,rni,12,12,True
1950,dmi,12,12,True
1951,rni,12,12,True
1951,dmi,12,12,True
1952,rni,12,12,True
1952,dmi,12,12,True
1953,rni,12,12,True
1953,dmi,12,12,True
1954,rni,12,12,True
1954,dmi,12,12,True
1955,rni,12,12,True
1955,dmi,12,12,True
1956,rni,12,12,True
1956,dmi,12,12,True
1957,rni,12,12,True
1957,dmi,12,12,True
1958,rni,12,12,True
1958,dmi,12,12,True
1959,rni,12,12,True
1959,dmi,12,12,True
1960,rni,12,12,True
1960,dmi,12,12,True
1961,rni,12,12,True
1961,dmi,12,12,True
1962,rni,12,12,True
1962,dmi,12,12,True
1963,rni,12,12,True
1963,dmi,12,12,True
1964,rni,12,12,True
1964,dmi,12,12,True
1965,rni,12,12,True
1965,dmi,12,12,True
1966,rni,12,12,True
1966,dmi,12,12,True
1967,rni,12,12,True
1967,dmi,12,12,True
1968,rni,12,12,True
1968,dmi,12,12,True
1969,rni,12,12,True
1969,dmi,12,12,True
1970,rni,12,12,True
1970,dmi,12,12,True
1971,rni,12,12,True
1971,dmi,12,12,True
1972,rni,12,12,True
1972,dmi,12,12,True
1973,rni,12,12,True
1973,dmi,12,12,True
1974,rni,12,12,True
1974,dmi,12,12,True
1975,rni,12,12,True
1975,dmi,12,12,True
1976,rni,12,12,True
1976,dmi,12,12,True
1977,rni,12,12,True
1977,dmi,12,12,True
1978,rni,12,12,True
1978,dmi,12,12,True
1979,rni,12,12,True
1979,dmi,12,12,True
1980,rni,12,12,True
1980,dmi,12,12,True
1981,rni,12,12,True
1981,dmi,12,12,True
1982,rni,12,12,True
1982,dmi,12,12,True
1983,rni,12,12,True
1983,dmi,12,12,True
1984,rni,12,12,True
1984,dmi,12,12,True
1985,rni,12,12,True
1985,dmi,12,12,True
1986,rni,12,12,True
1986,dmi,12,12,True
1987,rni,12,12,True
1987,dmi,12,12,True
1988,rni,12,12,True
1988,dmi,12,12,True
1989,rni,12,12,True
1989,dmi,12,12,True
1990,rni,12,12,True
1990,dmi,12,12,True
1991,rni,12,12,True
1991,dmi,12,12,True
1992,rni,12,12,True
1992,dmi,12,12,True
1993,rni,12,12,True
1993,dmi,12,12,True
1994,rni,12,12,True
1994,dmi,12,12,True
1995,rni,12,12,True
1995,dmi,12,12,True
1996,rni,12,12,True
1996,dmi,12,12,True
1997,rni,12,12,True
1997,dmi,12,12,True
1998,rni,12,12,True
1998,dmi,12,12,True
1999,rni,12,12,True
1999,dmi,12,12,True
2000,rni,12,12,True
2000,dmi,12,12,True
2001,rni,12,12,True
2001,dmi,12,12,True
2002,rni,12,12,True
2002,dmi,12,12,True
2003,rni,12,12,True
2003,dmi,12,12,True
2004,rni,12,12,True
2004,dmi,12,12,True
2005,rni,12,12,True
2005,dmi,12,12,True
2006,rni,12,12,True
2006,dmi,12,12,True
2007,rni,12,12,True
2007,dmi,12,12,True
2008,rni,12,12,True
2008,dmi,12,12,True
2009,rni,12,12,True
2009,dmi,12,12,True
2010,rni,12,12,True
2010,dmi,12,12,True
2011,rni,12,12,True
2011,dmi,12,12,True
2012,rni,12,12,True
2012,dmi,12,12,True
2013,rni,12,12,True
2013,dmi,12,12,True
2014,rni,12,12,True
2014,dmi,12,12,True
2015,rni,12,12,True
2015,dmi,12,12,True
2016,rni,12,12,True
2016,dmi,12,12,True
2017,rni,12,12,True
2017,dmi,12,12,True
2018,rni,12,12,True
2018,dmi,12,12,True
2019,rni,12,12,True
2019,dmi,12,12,True
2020,rni,12,12,True
2020,dmi,12,12,True
2021,rni,12,12,True
2021,dmi,12,12,True
2022,rni,12,12,True
2022,dmi,12,12,True
2023,rni,12,12,True
2023,dmi,12,12,True
2024,rni,12,12,True
2024,dmi,12,12,True
2025,rni,12,12,True
2025,dmi,12,12,True
2026,rni,8,12,False
2026,dmi,5,12,False
