source,source_id,country,iso,start_date,end_date,deaths,displaced_or_affected,area_km2,latitude,longitude,cause,damage_usd_thousand,severity,match_group_id,notes,source_record_number,canonical_event_id,review_required,review_flags
EM-DAT,1935-0019-CHN,China,CHN,1935-07-01,1935-01-01,142000.0,10030000.0,,,,Flood (General),33000.0,150000.0,,,32,EM-DAT:1935-0019-CHN,True,invalid_date_interval
EM-DAT,2006-0480-BDI,Burundi,BDI,2006-08-26,2006-08-01,,1500.0,,,,Riverine flood,,,,,5983,EM-DAT:2006-0480-BDI,True,invalid_date_interval
EM-DAT,2007-0604-ZWE,Zimbabwe,ZWE,2007-12-13,2007-12-01,3.0,15000.0,,-16.66,31.24,Riverine flood,,13370.0,,,6530,EM-DAT:2007-0604-ZWE,True,invalid_date_interval
EM-DAT,2007-0610-IDN,Indonesia,IDN,2007-12-25,2007-12-01,127.0,269515.0,,-7.54,111.33,Riverine flood,,50690.0,,,6542,EM-DAT:2007-0610-IDN,True,invalid_date_interval
EM-DAT,2015-0412-IDN,Indonesia,IDN,2015-07-15,2015-07-01,,25750.0,,,,Flood (General),,,,,8735,EM-DAT:2015-0412-IDN,True,invalid_date_interval
EM-DAT,2024-0838-CAF,Central African Republic,CAF,2024-08-18,2024-08-01,,2700.0,,,,Flood (General),145000.0,,,,11530,EM-DAT:2024-0838-CAF,True,invalid_date_interval
EM-DAT,2023-0857-COD,Democratic Republic of the Congo,COD,2023-12-26,2023-12-27,40.0,5.0,,,,Flood (General),,,10.0,,11406,match:10.0,True,incompatible_date_intervals;multiple_emdat_event_ids
DFO,DFO-5507,Democratic Republic of the Congo,COD,2023-12-28,2024-01-12,300.0,120000.0,92099.0,,,Heavy rain,,2.0,10.0,,11408,match:10.0,True,incompatible_date_intervals;multiple_emdat_event_ids
EM-DAT,2024-0268-COD,Democratic Republic of the Congo,COD,2024-01-11,2024-01-20,300.0,2190000.0,,,,Flood (General),,,10.0,,11417,match:10.0,True,incompatible_date_intervals;multiple_emdat_event_ids
DFO,DFO-5337,Bosnia and Herzegovina • Croatia,,2022-12-10,2022-12-10,1.0,0.0,5093.0,,,Heavy rain,,1.0,100.0,transboundary (2 countries),11065,match:100.0,True,incompatible_date_intervals
EM-DAT,2022-0825-BIH,Bosnia and Herzegovina,BIH,2022-12-11,2022-12-22,1.0,3000.0,,,,Flood (General),,,100.0,,11069,match:100.0,True,incompatible_date_intervals
EM-DAT,2022-0825-HRV,Croatia,HRV,2022-12-11,2022-12-11,,,,,,Flood (General),,,100.0,,11070,match:100.0,True,incompatible_date_intervals
DFO,DFO-3603,Australia,AUS,2010-02-05,2010-02-07,2.0,0.0,188865.0,,,Heavy rain,,1.0,1003.0,,7224,match:1003.0,True,incompatible_date_intervals;multiple_dfo_event_ids
DFO,DFO-3608,Australia,AUS,2010-02-13,2010-02-16,0.0,0.0,311949.0,,,Heavy rain,,2.0,1003.0,,7230,match:1003.0,True,incompatible_date_intervals;multiple_dfo_event_ids
EM-DAT,2010-0066-AUS,Australia,AUS,2010-02-13,2010-02-16,,,,-32.42,149.59,Riverine flood,,311900.0,1003.0,,7231,match:1003.0,True,incompatible_date_intervals;multiple_dfo_event_ids
DFO,DFO-3606,Australia,AUS,2010-02-15,2010-02-16,0.0,0.0,20652.0,,,Torrential rain,,2.0,1003.0,,7234,match:1003.0,True,incompatible_date_intervals;multiple_dfo_event_ids
DFO,DFO-3586,Australia,AUS,2009-12-25,2009-12-28,0.0,0.0,149318.0,,,Heavy rain,,1.0,1009.0,,7189,match:1009.0,True,incompatible_date_intervals;multiple_dfo_event_ids
EM-DAT,2009-0589-AUS,Australia,AUS,2009-12-25,2009-12-28,,200.0,,-31.17,151.75,Riverine flood,,149300.0,1009.0,,7190,match:1009.0,True,incompatible_date_intervals;multiple_dfo_event_ids
DFO,DFO-3590,Australia,AUS,2010-01-01,2010-01-13,0.0,1000.0,301379.0,,,Tropical cyclone,,1.5,1009.0,,7196,match:1009.0,True,incompatible_date_intervals;multiple_dfo_event_ids
DFO,DFO-5331,Brazil,BRA,2022-11-28,2022-12-04,4.0,20000.0,571000.0,,,Heavy rain,,2.0,101.0,,11057,match:101.0,True,incompatible_date_intervals;multiple_dfo_event_ids;multiple_emdat_event_ids
EM-DAT,2022-0783-BRA,Brazil,BRA,2022-11-29,2022-12-04,10.0,3000.0,,,,Flood (General),,,101.0,,11058,match:101.0,True,incompatible_date_intervals;multiple_dfo_event_ids;multiple_emdat_event_ids
EM-DAT,2022-0793-BRA,Brazil,BRA,2022-11-29,2022-12-04,32.0,17500.0,,,,Flood (General),,,101.0,,11059,match:101.0,True,incompatible_date_intervals;multiple_dfo_event_ids;multiple_emdat_event_ids
DFO,DFO-5335,Brazil,BRA,2022-12-07,2022-12-07,1.0,0.0,583000.0,,,Heavy rain,,1.5,101.0,,11064,match:101.0,True,incompatible_date_intervals;multiple_dfo_event_ids;multiple_emdat_event_ids
DFO,DFO-3570,Malaysia,MYS,2009-11-10,2009-11-16,0.0,1793.0,14486.0,,,Heavy rain,,1.0,1018.0,,7151,match:1018.0,True,incompatible_date_intervals;multiple_dfo_event_ids;multiple_emdat_event_ids
EM-DAT,2009-0610-MYS,Malaysia,MYS,2009-11-20,2009-11-27,,9082.0,,4.99,102.36,Riverine flood,,9062.0,1018.0,,7163,match:1018.0,True,incompatible_date_intervals;multiple_dfo_event_ids;multiple_emdat_event_ids
DFO,DFO-3578,Malaysia,MYS,2009-11-21,2009-11-27,0.0,9062.0,37560.0,,,Heavy rain,,1.0,1018.0,,7167,match:1018.0,True,incompatible_date_intervals;multiple_dfo_event_ids;multiple_emdat_event_ids
EM-DAT,2009-0511-MYS,Malaysia,MYS,2009-11-23,2009-11-26,,1793.0,,5.74,100.96,Riverine flood,,14490.0,1018.0,,7171,match:1018.0,True,incompatible_date_intervals;multiple_dfo_event_ids;multiple_emdat_event_ids
DFO,DFO-5332,South Africa,ZAF,2022-12-03,2022-12-03,9.0,0.0,11559.0,,,Heavy rain,,1.0,102.0,,11062,match:102.0,True,incompatible_date_intervals
EM-DAT,2022-0788-ZAF,South Africa,ZAF,2022-12-10,2022-12-12,17.0,56177.0,,,,Flash flood,,,102.0,,11066,match:102.0,True,incompatible_date_intervals
EM-DAT,2009-0450-PRY,Paraguay,PRY,2009-09-22,2009-10-23,,12035.0,,-25.1,-56.27,Riverine flood,820.0,163300.0,1026.0,,7111,match:1026.0,True,incompatible_date_intervals
DFO,DFO-3559,Paraguay,PRY,2009-10-26,2009-10-28,0.0,0.0,163341.0,,,Heavy rain,,1.0,1026.0,,7134,match:1026.0,True,incompatible_date_intervals
DFO,DFO-3557,Kenya,KEN,2009-10-20,2009-10-28,0.0,2000.0,197665.0,,,Heavy rain,,1.0,1027.0,,7130,match:1027.0,True,incompatible_date_intervals
EM-DAT,2009-0494-KEN,Kenya,KEN,2009-10-29,2009-11-04,16.0,44850.0,,,,Riverine flood,,,1027.0,,7135,match:1027.0,True,incompatible_date_intervals
DFO,DFO-3545,Viet Nam,VNM,2009-09-25,2009-09-28,17.0,40000.0,47598.0,,,Heavy rain,,1.5,1030.0,,7112,match:1030.0,True,multiple_dfo_event_ids
EM-DAT,2009-0611-VNM,Viet Nam,VNM,2009-09-25,2009-09-28,17.0,40000.0,,15.19,108.02,Riverine flood,,47600.0,1030.0,,7116,match:1030.0,True,multiple_dfo_event_ids
