Date of analysis,Country,Total country population,Validity period,From,To,Phase,Number,Percentage,quarantine_reason,derived_period_key
May 2021,ETH,114964000,current,2021-05-01,2021-06-30,all,56346877,1.0,Conflicting rows share a derived period identity; publisher analysis ID/scope missing,ipc-hdx-period-v1:feac852348a55cdbbb4ae829c5e2a3d1d7978d3471962af2e8d20333cb1fcee0
May 2021,ETH,114964000,current,2021-05-01,2021-06-30,3+,16756345,0.3,Conflicting rows share a derived period identity; publisher analysis ID/scope missing,ipc-hdx-period-v1:feac852348a55cdbbb4ae829c5e2a3d1d7978d3471962af2e8d20333cb1fcee0
May 2021,ETH,114964000,current,2021-05-01,2021-06-30,1,22380046,0.4,Conflicting rows share a derived period identity; publisher analysis ID/scope missing,ipc-hdx-period-v1:feac852348a55cdbbb4ae829c5e2a3d1d7978d3471962af2e8d20333cb1fcee0
May 2021,ETH,114964000,current,2021-05-01,2021-06-30,2,17210486,0.31,Conflicting rows share a derived period identity; publisher analysis ID/scope missing,ipc-hdx-period-v1:feac852348a55cdbbb4ae829c5e2a3d1d7978d3471962af2e8d20333cb1fcee0
May 2021,ETH,114964000,current,2021-05-01,2021-06-30,3,12072236,0.21,Conflicting rows share a derived period identity; publisher analysis ID/scope missing,ipc-hdx-period-v1:feac852348a55cdbbb4ae829c5e2a3d1d7978d3471962af2e8d20333cb1fcee0
May 2021,ETH,114964000,current,2021-05-01,2021-06-30,4,4331214,0.08,Conflicting rows share a derived period identity; publisher analysis ID/scope missing,ipc-hdx-period-v1:feac852348a55cdbbb4ae829c5e2a3d1d7978d3471962af2e8d20333cb1fcee0
May 2021,ETH,114964000,current,2021-05-01,2021-06-30,5,352896,0.01,Conflicting rows share a derived period identity; publisher analysis ID/scope missing,ipc-hdx-period-v1:feac852348a55cdbbb4ae829c5e2a3d1d7978d3471962af2e8d20333cb1fcee0
May 2021,ETH,114964000,current,2021-05-01,2021-06-30,all,8980967,1.0,Conflicting rows share a derived period identity; publisher analysis ID/scope missing,ipc-hdx-period-v1:feac852348a55cdbbb4ae829c5e2a3d1d7978d3471962af2e8d20333cb1fcee0
May 2021,ETH,114964000,current,2021-05-01,2021-06-30,3+,5522943,0.61,Conflicting rows share a derived period identity; publisher analysis ID/scope missing,ipc-hdx-period-v1:feac852348a55cdbbb4ae829c5e2a3d1d7978d3471962af2e8d20333cb1fcee0
May 2021,ETH,114964000,current,2021-05-01,2021-06-30,1,1462694,0.17,Conflicting rows share a derived period identity; publisher analysis ID/scope missing,ipc-hdx-period-v1:feac852348a55cdbbb4ae829c5e2a3d1d7978d3471962af2e8d20333cb1fcee0
May 2021,ETH,114964000,current,2021-05-01,2021-06-30,2,1995331,0.22,Conflicting rows share a derived period identity; publisher analysis ID/scope missing,ipc-hdx-period-v1:feac852348a55cdbbb4ae829c5e2a3d1d7978d3471962af2e8d20333cb1fcee0
May 2021,ETH,114964000,current,2021-05-01,2021-06-30,3,3091605,0.34,Conflicting rows share a derived period identity; publisher analysis ID/scope missing,ipc-hdx-period-v1:feac852348a55cdbbb4ae829c5e2a3d1d7978d3471962af2e8d20333cb1fcee0
May 2021,ETH,114964000,current,2021-05-01,2021-06-30,4,2078442,0.23,Conflicting rows share a derived period identity; publisher analysis ID/scope missing,ipc-hdx-period-v1:feac852348a55cdbbb4ae829c5e2a3d1d7978d3471962af2e8d20333cb1fcee0
May 2021,ETH,114964000,current,2021-05-01,2021-06-30,5,352896,0.04,Conflicting rows share a derived period identity; publisher analysis ID/scope missing,ipc-hdx-period-v1:feac852348a55cdbbb4ae829c5e2a3d1d7978d3471962af2e8d20333cb1fcee0
May 2021,ETH,114964000,first projection,2021-07-01,2021-09-30,all,19749101,1.0,Conflicting rows share a derived period identity; publisher analysis ID/scope missing,ipc-hdx-period-v1:e4c9a9a0919efba15c8ffd19ee1afdc8d8e519b16d69e1e9ef8b0629a6950d5d
May 2021,ETH,114964000,first projection,2021-07-01,2021-09-30,3+,7386290,0.37,Conflicting rows share a derived period identity; publisher analysis ID/scope missing,ipc-hdx-period-v1:e4c9a9a0919efba15c8ffd19ee1afdc8d8e519b16d69e1e9ef8b0629a6950d5d
May 2021,ETH,114964000,first projection,2021-07-01,2021-09-30,1,6364779,0.32,Conflicting rows share a derived period identity; publisher analysis ID/scope missing,ipc-hdx-period-v1:e4c9a9a0919efba15c8ffd19ee1afdc8d8e519b16d69e1e9ef8b0629a6950d5d
May 2021,ETH,114964000,first projection,2021-07-01,2021-09-30,2,5998032,0.3,Conflicting rows share a derived period identity; publisher analysis ID/scope missing,ipc-hdx-period-v1:e4c9a9a0919efba15c8ffd19ee1afdc8d8e519b16d69e1e9ef8b0629a6950d5d
May 2021,ETH,114964000,first projection,2021-07-01,2021-09-30,3,4558999,0.23,Conflicting rows share a derived period identity; publisher analysis ID/scope missing,ipc-hdx-period-v1:e4c9a9a0919efba15c8ffd19ee1afdc8d8e519b16d69e1e9ef8b0629a6950d5d
May 2021,ETH,114964000,first projection,2021-07-01,2021-09-30,4,2425979,0.12,Conflicting rows share a derived period identity; publisher analysis ID/scope missing,ipc-hdx-period-v1:e4c9a9a0919efba15c8ffd19ee1afdc8d8e519b16d69e1e9ef8b0629a6950d5d
May 2021,ETH,114964000,first projection,2021-07-01,2021-09-30,5,401313,0.02,Conflicting rows share a derived period identity; publisher analysis ID/scope missing,ipc-hdx-period-v1:e4c9a9a0919efba15c8ffd19ee1afdc8d8e519b16d69e1e9ef8b0629a6950d5d
May 2021,ETH,114964000,first projection,2021-07-01,2021-09-30,all,5961602,1.0,Conflicting rows share a derived period identity; publisher analysis ID/scope missing,ipc-hdx-period-v1:e4c9a9a0919efba15c8ffd19ee1afdc8d8e519b16d69e1e9ef8b0629a6950d5d
May 2021,ETH,114964000,first projection,2021-07-01,2021-09-30,3+,4397377,0.74,Conflicting rows share a derived period identity; publisher analysis ID/scope missing,ipc-hdx-period-v1:e4c9a9a0919efba15c8ffd19ee1afdc8d8e519b16d69e1e9ef8b0629a6950d5d
May 2021,ETH,114964000,first projection,2021-07-01,2021-09-30,1,526747,0.09,Conflicting rows share a derived period identity; publisher analysis ID/scope missing,ipc-hdx-period-v1:e4c9a9a0919efba15c8ffd19ee1afdc8d8e519b16d69e1e9ef8b0629a6950d5d
May 2021,ETH,114964000,first projection,2021-07-01,2021-09-30,2,1037478,0.17,Conflicting rows share a derived period identity; publisher analysis ID/scope missing,ipc-hdx-period-v1:e4c9a9a0919efba15c8ffd19ee1afdc8d8e519b16d69e1e9ef8b0629a6950d5d
May 2021,ETH,114964000,first projection,2021-07-01,2021-09-30,3,2193953,0.37,Conflicting rows share a derived period identity; publisher analysis ID/scope missing,ipc-hdx-period-v1:e4c9a9a0919efba15c8ffd19ee1afdc8d8e519b16d69e1e9ef8b0629a6950d5d
May 2021,ETH,114964000,first projection,2021-07-01,2021-09-30,4,1802111,0.3,Conflicting rows share a derived period identity; publisher analysis ID/scope missing,ipc-hdx-period-v1:e4c9a9a0919efba15c8ffd19ee1afdc8d8e519b16d69e1e9ef8b0629a6950d5d
May 2021,ETH,114964000,first projection,2021-07-01,2021-09-30,5,401313,0.07,Conflicting rows share a derived period identity; publisher analysis ID/scope missing,ipc-hdx-period-v1:e4c9a9a0919efba15c8ffd19ee1afdc8d8e519b16d69e1e9ef8b0629a6950d5d
Jan 2026,SDN,47535794,first projection,2026-06-01,2026-09-30,all,47535794,1.0,Inconsistent phase-count partition: 1+2+3+4+5 versus phase all,ipc-hdx-period-v1:038076dfb4ef282e73405149c33f750371e061b9c02e656525d4a5d12624ecf9
Jan 2026,SDN,47535794,first projection,2026-06-01,2026-09-30,3+,5574078,0.12,Inconsistent phase-count partition: 1+2+3+4+5 versus phase all,ipc-hdx-period-v1:038076dfb4ef282e73405149c33f750371e061b9c02e656525d4a5d12624ecf9
Jan 2026,SDN,47535794,first projection,2026-06-01,2026-09-30,1,737813,0.02,Inconsistent phase-count partition: 1+2+3+4+5 versus phase all,ipc-hdx-period-v1:038076dfb4ef282e73405149c33f750371e061b9c02e656525d4a5d12624ecf9
Jan 2026,SDN,47535794,first projection,2026-06-01,2026-09-30,2,1977719,0.04,Inconsistent phase-count partition: 1+2+3+4+5 versus phase all,ipc-hdx-period-v1:038076dfb4ef282e73405149c33f750371e061b9c02e656525d4a5d12624ecf9
Jan 2026,SDN,47535794,first projection,2026-06-01,2026-09-30,3,3126748,0.07,Inconsistent phase-count partition: 1+2+3+4+5 versus phase all,ipc-hdx-period-v1:038076dfb4ef282e73405149c33f750371e061b9c02e656525d4a5d12624ecf9
Jan 2026,SDN,47535794,first projection,2026-06-01,2026-09-30,4,2247617,0.05,Inconsistent phase-count partition: 1+2+3+4+5 versus phase all,ipc-hdx-period-v1:038076dfb4ef282e73405149c33f750371e061b9c02e656525d4a5d12624ecf9
Jan 2026,SDN,47535794,first projection,2026-06-01,2026-09-30,5,199713,0.0,Inconsistent phase-count partition: 1+2+3+4+5 versus phase all,ipc-hdx-period-v1:038076dfb4ef282e73405149c33f750371e061b9c02e656525d4a5d12624ecf9
