country,source_area,area_m49,period_start,period_end,start_year,end_year,value,unit,item_code,item,element_code,flag,note,period_complete,usable
ETH,Ethiopia,231,2000-01-01,2002-12-31,2000,2002,10.2,percent; three-year average,21035,Cereal import dependency ratio (percent) (3-year average),6121,E,,True,True
ETH,Ethiopia,231,2001-01-01,2003-12-31,2001,2003,11.9,percent; three-year average,21035,Cereal import dependency ratio (percent) (3-year average),6121,E,,True,True
ETH,Ethiopia,231,2002-01-01,2004-12-31,2002,2004,10.1,percent; three-year average,21035,Cereal import dependency ratio (percent) (3-year average),6121,E,,True,True
ETH,Ethiopia,231,2003-01-01,2005-12-31,2003,2005,10.1,percent; three-year average,21035,Cereal import dependency ratio (percent) (3-year average),6121,E,,True,True
ETH,Ethiopia,231,2004-01-01,2006-12-31,2004,2006,6.1,percent; three-year average,21035,Cereal import dependency ratio (percent) (3-year average),6121,E,,True,True
ETH,Ethiopia,231,2005-01-01,2007-12-31,2005,2007,6.1,percent; three-year average,21035,Cereal import dependency ratio (percent) (3-year average),6121,E,,True,True
ETH,Ethiopia,231,2006-01-01,2008-12-31,2006,2008,7.2,percent; three-year average,21035,Cereal import dependency ratio (percent) (3-year average),6121,E,,True,True
ETH,Ethiopia,231,2007-01-01,2009-12-31,2007,2009,9.8,percent; three-year average,21035,Cereal import dependency ratio (percent) (3-year average),6121,E,,True,True
ETH,Ethiopia,231,2008-01-01,2010-12-31,2008,2010,11.4,percent; three-year average,21035,Cereal import dependency ratio (percent) (3-year average),6121,E,,True,True
ETH,Ethiopia,231,2009-01-01,2011-12-31,2009,2011,11.0,percent; three-year average,21035,Cereal import dependency ratio (percent) (3-year average),6121,E,,True,True
ETH,Ethiopia,231,2010-01-01,2012-12-31,2010,2012,8.4,percent; three-year average,21035,Cereal import dependency ratio (percent) (3-year average),6121,E,,True,True
ETH,Ethiopia,231,2011-01-01,2013-12-31,2011,2013,6.6,percent; three-year average,21035,Cereal import dependency ratio (percent) (3-year average),6121,E,,True,True
ETH,Ethiopia,231,2012-01-01,2014-12-31,2012,2014,5.7,percent; three-year average,21035,Cereal import dependency ratio (percent) (3-year average),6121,E,,True,True
ETH,Ethiopia,231,2013-01-01,2015-12-31,2013,2015,6.4,percent; three-year average,21035,Cereal import dependency ratio (percent) (3-year average),6121,E,,True,True
ETH,Ethiopia,231,2014-01-01,2016-12-31,2014,2016,8.5,percent; three-year average,21035,Cereal import dependency ratio (percent) (3-year average),6121,E,,True,True
ETH,Ethiopia,231,2015-01-01,2017-12-31,2015,2017,8.8,percent; three-year average,21035,Cereal import dependency ratio (percent) (3-year average),6121,E,,True,True
ETH,Ethiopia,231,2016-01-01,2018-12-31,2016,2018,9.1,percent; three-year average,21035,Cereal import dependency ratio (percent) (3-year average),6121,E,,True,True
ETH,Ethiopia,231,2017-01-01,2019-12-31,2017,2019,8.2,percent; three-year average,21035,Cereal import dependency ratio (percent) (3-year average),6121,E,,True,True
ETH,Ethiopia,231,2018-01-01,2020-12-31,2018,2020,9.1,percent; three-year average,21035,Cereal import dependency ratio (percent) (3-year average),6121,E,,True,True
