country,source,usable_rows,observed_start,observed_end,status
ISR,official_fx,140,2015-01-01,2026-08-31,observed source periods
ISR,cereal_dependence,22,2000-01-01,2023-12-31,observed source periods
PSE,official_fx,0,,,unavailable from selected source
PSE,cereal_dependence,0,,,unavailable from selected source
LBN,official_fx,140,2015-01-01,2026-08-31,observed source periods
LBN,cereal_dependence,22,2000-01-01,2023-12-31,observed source periods
UKR,official_fx,140,2015-01-01,2026-08-31,observed source periods
UKR,cereal_dependence,22,2000-01-01,2023-12-31,observed source periods
SDN,official_fx,118,2015-01-01,2024-10-31,observed source periods
SDN,cereal_dependence,0,,,unavailable from selected source
ETH,official_fx,140,2015-01-01,2026-08-31,observed source periods
ETH,cereal_dependence,22,2000-01-01,2023-12-31,observed source periods
SOM,official_fx,42,2015-01-01,2018-06-30,observed source periods
SOM,cereal_dependence,0,,,unavailable from selected source
YEM,official_fx,140,2015-01-01,2026-08-31,observed source periods
YEM,cereal_dependence,22,2000-01-01,2023-12-31,observed source periods
