country,period_start,period_end,metric,value,unit,numerator,denominator,frequency,source_id,source_version,source_url,published_at,fetched_at,provisional,dimensions,quality_note
ETH,2009-01-01,2009-12-31,internal_displacements_flow,200000.0,displacement movements,,,annual,idmc,GIDD annual HDX export,https://data.humdata.org/dataset/4b877793-d974-487e-846a-76e356b7530f/resource/c6dace98-9626-4f35-92b1-175d1295d058/download/internal-displacements-new-displacements-idps_eth.csv,2026-05-24T23:35:52.650155,2026-09-06T11:42:36.371537+00:00,False,"{""cause_scope"": ""Annual IDPs export; separate disaster-event export not aggregated or added"", ""geographic_scope"": ""IDMC source-country territory"", ""population_denominator_compatible"": false, ""source_country_name"": ""Ethiopia""}","New displacements count movements, including repeated movements by one person. Year-end stock counts people. Annual export and separate disaster-event export are not interchangeable. Geography/cause comparability not certified for cross-source inference. Missing years/counts remain missing."
ETH,2009-01-01,2009-12-31,internally_displaced_year_end_stock,350000.0,people,,,annual,idmc,GIDD annual HDX export,https://data.humdata.org/dataset/4b877793-d974-487e-846a-76e356b7530f/resource/c6dace98-9626-4f35-92b1-175d1295d058/download/internal-displacements-new-displacements-idps_eth.csv,2026-05-24T23:35:52.650155,2026-09-06T11:42:36.371537+00:00,False,"{""cause_scope"": ""Annual IDPs export; separate disaster-event export not aggregated or added"", ""geographic_scope"": ""IDMC source-country territory"", ""population_denominator_compatible"": false, ""source_country_name"": ""Ethiopia""}","New displacements count movements, including repeated movements by one person. Year-end stock counts people. Annual export and separate disaster-event export are not interchangeable. Geography/cause comparability not certified for cross-source inference. Missing years/counts remain missing."
ETH,2010-01-01,2010-12-31,internal_displacements_flow,0.0,displacement movements,,,annual,idmc,GIDD annual HDX export,https://data.humdata.org/dataset/4b877793-d974-487e-846a-76e356b7530f/resource/c6dace98-9626-4f35-92b1-175d1295d058/download/internal-displacements-new-displacements-idps_eth.csv,2026-05-24T23:35:52.650155,2026-09-06T11:42:36.371537+00:00,False,"{""cause_scope"": ""Annual IDPs export; separate disaster-event export not aggregated or added"", ""geographic_scope"": ""IDMC source-country territory"", ""population_denominator_compatible"": false, ""source_country_name"": ""Ethiopia""}","New displacements count movements, including repeated movements by one person. Year-end stock counts people. Annual export and separate disaster-event export are not interchangeable. Geography/cause comparability not certified for cross-source inference. Missing years/counts remain missing."
ETH,2010-01-01,2010-12-31,internally_displaced_year_end_stock,300000.0,people,,,annual,idmc,GIDD annual HDX export,https://data.humdata.org/dataset/4b877793-d974-487e-846a-76e356b7530f/resource/c6dace98-9626-4f35-92b1-175d1295d058/download/internal-displacements-new-displacements-idps_eth.csv,2026-05-24T23:35:52.650155,2026-09-06T11:42:36.371537+00:00,False,"{""cause_scope"": ""Annual IDPs export; separate disaster-event export not aggregated or added"", ""geographic_scope"": ""IDMC source-country territory"", ""population_denominator_compatible"": false, ""source_country_name"": ""Ethiopia""}","New displacements count movements, including repeated movements by one person. Year-end stock counts people. Annual export and separate disaster-event export are not interchangeable. Geography/cause comparability not certified for cross-source inference. Missing years/counts remain missing."
ETH,2011-01-01,2011-12-31,internal_displacements_flow,50000.0,displacement movements,,,annual,idmc,GIDD annual HDX export,https://data.humdata.org/dataset/4b877793-d974-487e-846a-76e356b7530f/resource/c6dace98-9626-4f35-92b1-175d1295d058/download/internal-displacements-new-displacements-idps_eth.csv,2026-05-24T23:35:52.650155,2026-09-06T11:42:36.371537+00:00,False,"{""cause_scope"": ""Annual IDPs export; separate disaster-event export not aggregated or added"", ""geographic_scope"": ""IDMC source-country territory"", ""population_denominator_compatible"": false, ""source_country_name"": ""Ethiopia""}","New displacements count movements, including repeated movements by one person. Year-end stock counts people. Annual export and separate disaster-event export are not interchangeable. Geography/cause comparability not certified for cross-source inference. Missing years/counts remain missing."
ETH,2011-01-01,2011-12-31,internally_displaced_year_end_stock,350000.0,people,,,annual,idmc,GIDD annual HDX export,https://data.humdata.org/dataset/4b877793-d974-487e-846a-76e356b7530f/resource/c6dace98-9626-4f35-92b1-175d1295d058/download/internal-displacements-new-displacements-idps_eth.csv,2026-05-24T23:35:52.650155,2026-09-06T11:42:36.371537+00:00,False,"{""cause_scope"": ""Annual IDPs export; separate disaster-event export not aggregated or added"", ""geographic_scope"": ""IDMC source-country territory"", ""population_denominator_compatible"": false, ""source_country_name"": ""Ethiopia""}","New displacements count movements, including repeated movements by one person. Year-end stock counts people. Annual export and separate disaster-event export are not interchangeable. Geography/cause comparability not certified for cross-source inference. Missing years/counts remain missing."
ETH,2012-01-01,2012-12-31,internal_displacements_flow,0.0,displacement movements,,,annual,idmc,GIDD annual HDX export,https://data.humdata.org/dataset/4b877793-d974-487e-846a-76e356b7530f/resource/c6dace98-9626-4f35-92b1-175d1295d058/download/internal-displacements-new-displacements-idps_eth.csv,2026-05-24T23:35:52.650155,2026-09-06T11:42:36.371537+00:00,False,"{""cause_scope"": ""Annual IDPs export; separate disaster-event export not aggregated or added"", ""geographic_scope"": ""IDMC source-country territory"", ""population_denominator_compatible"": false, ""source_country_name"": ""Ethiopia""}","New displacements count movements, including repeated movements by one person. Year-end stock counts people. Annual export and separate disaster-event export are not interchangeable. Geography/cause comparability not certified for cross-source inference. Missing years/counts remain missing."
ETH,2012-01-01,2012-12-31,internally_displaced_year_end_stock,350000.0,people,,,annual,idmc,GIDD annual HDX export,https://data.humdata.org/dataset/4b877793-d974-487e-846a-76e356b7530f/resource/c6dace98-9626-4f35-92b1-175d1295d058/download/internal-displacements-new-displacements-idps_eth.csv,2026-05-24T23:35:52.650155,2026-09-06T11:42:36.371537+00:00,False,"{""cause_scope"": ""Annual IDPs export; separate disaster-event export not aggregated or added"", ""geographic_scope"": ""IDMC source-country territory"", ""population_denominator_compatible"": false, ""source_country_name"": ""Ethiopia""}","New displacements count movements, including repeated movements by one person. Year-end stock counts people. Annual export and separate disaster-event export are not interchangeable. Geography/cause comparability not certified for cross-source inference. Missing years/counts remain missing."
ETH,2013-01-01,2013-12-31,internal_displacements_flow,178800.0,displacement movements,,,annual,idmc,GIDD annual HDX export,https://data.humdata.org/dataset/4b877793-d974-487e-846a-76e356b7530f/resource/c6dace98-9626-4f35-92b1-175d1295d058/download/internal-displacements-new-displacements-idps_eth.csv,2026-05-24T23:35:52.650155,2026-09-06T11:42:36.371537+00:00,False,"{""cause_scope"": ""Annual IDPs export; separate disaster-event export not aggregated or added"", ""geographic_scope"": ""IDMC source-country territory"", ""population_denominator_compatible"": false, ""source_country_name"": ""Ethiopia""}","New displacements count movements, including repeated movements by one person. Year-end stock counts people. Annual export and separate disaster-event export are not interchangeable. Geography/cause comparability not certified for cross-source inference. Missing years/counts remain missing."
ETH,2013-01-01,2013-12-31,internally_displaced_year_end_stock,316000.0,people,,,annual,idmc,GIDD annual HDX export,https://data.humdata.org/dataset/4b877793-d974-487e-846a-76e356b7530f/resource/c6dace98-9626-4f35-92b1-175d1295d058/download/internal-displacements-new-displacements-idps_eth.csv,2026-05-24T23:35:52.650155,2026-09-06T11:42:36.371537+00:00,False,"{""cause_scope"": ""Annual IDPs export; separate disaster-event export not aggregated or added"", ""geographic_scope"": ""IDMC source-country territory"", ""population_denominator_compatible"": false, ""source_country_name"": ""Ethiopia""}","New displacements count movements, including repeated movements by one person. Year-end stock counts people. Annual export and separate disaster-event export are not interchangeable. Geography/cause comparability not certified for cross-source inference. Missing years/counts remain missing."
