country,source,identity,source_url,first,last,baseline_months,baseline_year_counts,baseline_coverage_eligible
YEM,wfp_yem,"{""commodity"": ""Rice (imported)"", ""commodity_id"": ""64"", ""currency"": ""YER"", ""food_normalized_unit"": ""KG"", ""food_price_type"": ""Retail"", ""food_unit_kg"": 1.0, ""food_unit_original"": ""KG"", ""market_id"": ""192"", ""wage_series_signature"": {""commodity"": ""Wage (non-qualified labour)"", ""commodity_id"": ""277"", ""currency"": ""YER"", ""pricetype"": ""Retail"", ""unit"": ""DAY""}}",https://data.humdata.org/dataset/98574e10-6866-4f13-a2b1-3c8312801af5/resource/2f0c1d18-d42d-4e43-b928-1bd1fc7f6c90/download/wfp_food_prices_yem.csv,2016-06,2026-07,43,"{""2015"": 0, ""2016"": 7, ""2017"": 12, ""2018"": 12, ""2019"": 12}",False
YEM,wfp_yem,"{""commodity"": ""Rice (imported)"", ""commodity_id"": ""64"", ""currency"": ""YER"", ""food_normalized_unit"": ""KG"", ""food_price_type"": ""Retail"", ""food_unit_kg"": 1.0, ""food_unit_original"": ""KG"", ""market_id"": ""193"", ""wage_series_signature"": {""commodity"": ""Wage (non-qualified labour)"", ""commodity_id"": ""277"", ""currency"": ""YER"", ""pricetype"": ""Retail"", ""unit"": ""DAY""}}",https://data.humdata.org/dataset/98574e10-6866-4f13-a2b1-3c8312801af5/resource/2f0c1d18-d42d-4e43-b928-1bd1fc7f6c90/download/wfp_food_prices_yem.csv,2016-06,2024-05,43,"{""2015"": 0, ""2016"": 7, ""2017"": 12, ""2018"": 12, ""2019"": 12}",False
YEM,wfp_yem,"{""commodity"": ""Rice (imported)"", ""commodity_id"": ""64"", ""currency"": ""YER"", ""food_normalized_unit"": ""KG"", ""food_price_type"": ""Retail"", ""food_unit_kg"": 1.0, ""food_unit_original"": ""KG"", ""market_id"": ""1933"", ""wage_series_signature"": {""commodity"": ""Wage (non-qualified labour)"", ""commodity_id"": ""277"", ""currency"": ""YER"", ""pricetype"": ""Retail"", ""unit"": ""DAY""}}",https://data.humdata.org/dataset/98574e10-6866-4f13-a2b1-3c8312801af5/resource/2f0c1d18-d42d-4e43-b928-1bd1fc7f6c90/download/wfp_food_prices_yem.csv,2016-06,2026-07,43,"{""2015"": 0, ""2016"": 7, ""2017"": 12, ""2018"": 12, ""2019"": 12}",False
YEM,wfp_yem,"{""commodity"": ""Rice (imported)"", ""commodity_id"": ""64"", ""currency"": ""YER"", ""food_normalized_unit"": ""KG"", ""food_price_type"": ""Retail"", ""food_unit_kg"": 1.0, ""food_unit_original"": ""KG"", ""market_id"": ""1934"", ""wage_series_signature"": {""commodity"": ""Wage (non-qualified labour)"", ""commodity_id"": ""277"", ""currency"": ""YER"", ""pricetype"": ""Retail"", ""unit"": ""DAY""}}",https://data.humdata.org/dataset/98574e10-6866-4f13-a2b1-3c8312801af5/resource/2f0c1d18-d42d-4e43-b928-1bd1fc7f6c90/download/wfp_food_prices_yem.csv,2016-06,2026-07,27,"{""2015"": 0, ""2016"": 3, ""2017"": 8, ""2018"": 9, ""2019"": 7}",False
YEM,wfp_yem,"{""commodity"": ""Rice (imported)"", ""commodity_id"": ""64"", ""currency"": ""YER"", ""food_normalized_unit"": ""KG"", ""food_price_type"": ""Retail"", ""food_unit_kg"": 1.0, ""food_unit_original"": ""KG"", ""market_id"": ""1935"", ""wage_series_signature"": {""commodity"": ""Wage (non-qualified labour)"", ""commodity_id"": ""277"", ""currency"": ""YER"", ""pricetype"": ""Retail"", ""unit"": ""DAY""}}",https://data.humdata.org/dataset/98574e10-6866-4f13-a2b1-3c8312801af5/resource/2f0c1d18-d42d-4e43-b928-1bd1fc7f6c90/download/wfp_food_prices_yem.csv,2016-06,2026-07,43,"{""2015"": 0, ""2016"": 7, ""2017"": 12, ""2018"": 12, ""2019"": 12}",False
YEM,wfp_yem,"{""commodity"": ""Rice (imported)"", ""commodity_id"": ""64"", ""currency"": ""YER"", ""food_normalized_unit"": ""KG"", ""food_price_type"": ""Retail"", ""food_unit_kg"": 1.0, ""food_unit_original"": ""KG"", ""market_id"": ""1936"", ""wage_series_signature"": {""commodity"": ""Wage (non-qualified labour)"", ""commodity_id"": ""277"", ""currency"": ""YER"", ""pricetype"": ""Retail"", ""unit"": ""DAY""}}",https://data.humdata.org/dataset/98574e10-6866-4f13-a2b1-3c8312801af5/resource/2f0c1d18-d42d-4e43-b928-1bd1fc7f6c90/download/wfp_food_prices_yem.csv,2016-07,2026-07,39,"{""2015"": 0, ""2016"": 6, ""2017"": 11, ""2018"": 10, ""2019"": 12}",False
YEM,wfp_yem,"{""commodity"": ""Rice (imported)"", ""commodity_id"": ""64"", ""currency"": ""YER"", ""food_normalized_unit"": ""KG"", ""food_price_type"": ""Retail"", ""food_unit_kg"": 1.0, ""food_unit_original"": ""KG"", ""market_id"": ""1937"", ""wage_series_signature"": {""commodity"": ""Wage (non-qualified labour)"", ""commodity_id"": ""277"", ""currency"": ""YER"", ""pricetype"": ""Retail"", ""unit"": ""DAY""}}",https://data.humdata.org/dataset/98574e10-6866-4f13-a2b1-3c8312801af5/resource/2f0c1d18-d42d-4e43-b928-1bd1fc7f6c90/download/wfp_food_prices_yem.csv,2016-06,2026-07,43,"{""2015"": 0, ""2016"": 7, ""2017"": 12, ""2018"": 12, ""2019"": 12}",False
YEM,wfp_yem,"{""commodity"": ""Rice (imported)"", ""commodity_id"": ""64"", ""currency"": ""YER"", ""food_normalized_unit"": ""KG"", ""food_price_type"": ""Retail"", ""food_unit_kg"": 1.0, ""food_unit_original"": ""KG"", ""market_id"": ""1938"", ""wage_series_signature"": {""commodity"": ""Wage (non-qualified labour)"", ""commodity_id"": ""277"", ""currency"": ""YER"", ""pricetype"": ""Retail"", ""unit"": ""DAY""}}",https://data.humdata.org/dataset/98574e10-6866-4f13-a2b1-3c8312801af5/resource/2f0c1d18-d42d-4e43-b928-1bd1fc7f6c90/download/wfp_food_prices_yem.csv,2016-06,2024-05,43,"{""2015"": 0, ""2016"": 7, ""2017"": 12, ""2018"": 12, ""2019"": 12}",False
YEM,wfp_yem,"{""commodity"": ""Rice (imported)"", ""commodity_id"": ""64"", ""currency"": ""YER"", ""food_normalized_unit"": ""KG"", ""food_price_type"": ""Retail"", ""food_unit_kg"": 1.0, ""food_unit_original"": ""KG"", ""market_id"": ""1939"", ""wage_series_signature"": {""commodity"": ""Wage (non-qualified labour)"", ""commodity_id"": ""277"", ""currency"": ""YER"", ""pricetype"": ""Retail"", ""unit"": ""DAY""}}",https://data.humdata.org/dataset/98574e10-6866-4f13-a2b1-3c8312801af5/resource/2f0c1d18-d42d-4e43-b928-1bd1fc7f6c90/download/wfp_food_prices_yem.csv,2016-06,2026-07,43,"{""2015"": 0, ""2016"": 7, ""2017"": 12, ""2018"": 12, ""2019"": 12}",False
YEM,wfp_yem,"{""commodity"": ""Rice (imported)"", ""commodity_id"": ""64"", ""currency"": ""YER"", ""food_normalized_unit"": ""KG"", ""food_price_type"": ""Retail"", ""food_unit_kg"": 1.0, ""food_unit_original"": ""KG"", ""market_id"": ""194"", ""wage_series_signature"": {""commodity"": ""Wage (non-qualified labour)"", ""commodity_id"": ""277"", ""currency"": ""YER"", ""pricetype"": ""Retail"", ""unit"": ""DAY""}}",https://data.humdata.org/dataset/98574e10-6866-4f13-a2b1-3c8312801af5/resource/2f0c1d18-d42d-4e43-b928-1bd1fc7f6c90/download/wfp_food_prices_yem.csv,2016-06,2020-03,43,"{""2015"": 0, ""2016"": 7, ""2017"": 12, ""2018"": 12, ""2019"": 12}",False
