portid,date,year,month,day,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId,source_observed,chokepoint,day_complete,reporting_lag_elapsed,usable,status,source_id,source_version,source_url,fetched_at,unit,provisional
chokepoint1,2019-01-01,2019,1,1,Suez Canal,15.0,15.0,9.0,4.0,18.0,43.0,61.0,1018466.0,618654.0,112660.0,21900.0,1279775.0,1771682.0,3051458.0,1.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-01-02,2019,1,2,Suez Canal,24.0,4.0,6.0,6.0,10.0,40.0,50.0,1534924.0,227315.0,8536.0,37934.0,518306.0,1808711.0,2327017.0,2.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-01-03,2019,1,3,Suez Canal,13.0,14.0,9.0,2.0,24.0,38.0,62.0,555097.0,977689.0,39398.0,10829.0,868092.0,1583014.0,2451107.0,3.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-01-04,2019,1,4,Suez Canal,17.0,11.0,2.0,2.0,15.0,32.0,47.0,1044184.0,430139.0,3673.0,3430.0,836954.0,1481428.0,2318382.0,4.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-01-05,2019,1,5,Suez Canal,19.0,9.0,1.0,1.0,13.0,30.0,43.0,1215509.0,777548.0,4587.0,5567.0,628481.0,2003212.0,2631693.0,5.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-01-06,2019,1,6,Suez Canal,13.0,12.0,6.0,0.0,18.0,31.0,49.0,832089.0,664305.0,27559.0,0.0,314955.0,1523954.0,1838909.0,6.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-01-07,2019,1,7,Suez Canal,9.0,14.0,6.0,2.0,16.0,31.0,47.0,434155.0,711501.0,33826.0,5124.0,894303.0,1184608.0,2078911.0,7.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-01-08,2019,1,8,Suez Canal,21.0,9.0,5.0,3.0,10.0,38.0,48.0,1418046.0,452795.0,9552.0,16898.0,868355.0,1897292.0,2765647.0,8.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-01-09,2019,1,9,Suez Canal,18.0,14.0,5.0,1.0,21.0,38.0,59.0,1303088.0,452256.0,21889.0,4875.0,824016.0,1782110.0,2606126.0,9.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-01-10,2019,1,10,Suez Canal,14.0,9.0,5.0,5.0,16.0,33.0,49.0,748401.0,503278.0,34894.0,26878.0,961390.0,1313451.0,2274842.0,10.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
chokepoint1,2019-01-11,2019,1,11,Suez Canal,18.0,10.0,3.0,4.0,19.0,35.0,54.0,883967.0,528275.0,23318.0,17440.0,930693.0,1453001.0,2383695.0,11.0,True,Suez Canal,True,True,True,available,imf_portwatch_daily_chokepoints,3da2b9ca97684916b75c4013f95d18ab; source edit 1788344084697,https://services9.arcgis.com/weJ1QsnbMYJlCHdG/arcgis/rest/services/Daily_Chokepoints_Data/FeatureServer/0,2026-09-09T11:33:50.886690+00:00,estimated_metric_tons,True
