year,composite,eligible,observed_domains,required_domains,domains_above_1
1900,,False,2,6,
1901,,False,2,6,
1902,,False,2,6,
1903,,False,2,6,
1904,,False,2,6,
1905,,False,2,6,
1906,,False,3,6,
1907,,False,3,6,
1908,,False,3,6,
1909,,False,3,6,
1910,,False,3,6,
1911,,False,3,6,
1912,,False,3,6,
1913,,False,3,6,
1914,,False,3,6,
1915,,False,3,6,
1916,,False,3,6,
1917,,False,3,6,
1918,,False,3,6,
1919,,False,3,6,
1920,,False,3,6,
1921,,False,3,6,
1922,,False,3,6,
1923,,False,3,6,
1924,,False,3,6,
1925,,False,3,6,
1926,,False,3,6,
1927,,False,3,6,
1928,,False,3,6,
1929,,False,3,6,
1930,,False,3,6,
1931,,False,3,6,
1932,,False,3,6,
1933,,False,3,6,
1934,,False,3,6,
1935,,False,3,6,
1936,,False,3,6,
1937,,False,3,6,
1938,,False,3,6,
1939,,False,3,6,
1940,,False,3,6,
1941,,False,3,6,
1942,,False,3,6,
1943,,False,3,6,
1944,,False,3,6,
1945,,False,3,6,
1946,,False,3,6,
1947,,False,3,6,
1948,,False,3,6,
1949,,False,3,6,
1950,,False,3,6,
1951,,False,3,6,
1952,,False,3,6,
1953,,False,3,6,
1954,,False,3,6,
1955,,False,3,6,
1956,,False,3,6,
1957,,False,3,6,
1958,,False,3,6,
1959,,False,3,6,
1960,,False,3,6,
1961,,False,3,6,
1962,,False,3,6,
1963,,False,3,6,
1964,,False,3,6,
1965,,False,3,6,
1966,,False,3,6,
1967,,False,3,6,
1968,,False,3,6,
1969,,False,3,6,
1970,,False,4,6,
1971,,False,4,6,
1972,,False,4,6,
1973,,False,4,6,
1974,,False,4,6,
1975,,False,4,6,
1976,,False,5,6,
1977,,False,5,6,
1978,,False,5,6,
1979,,False,5,6,
1980,,False,5,6,
1981,,False,5,6,
1982,,False,5,6,
1983,,False,5,6,
1984,,False,5,6,
1985,,False,5,6,
1986,,False,5,6,
1987,,False,5,6,
1988,,False,5,6,
1989,,False,5,6,
1990,,False,5,6,
1991,,False,5,6,
1992,,False,5,6,
1993,,False,4,6,
1994,,False,5,6,
1995,,False,5,6,
1996,,False,5,6,
1997,,False,5,6,
1998,,False,5,6,
1999,,False,5,6,
2000,,False,5,6,
2001,,False,5,6,
2002,,False,5,6,
2003,,False,5,6,
2004,,False,5,6,
2005,,False,5,6,
2006,,False,5,6,
2007,,False,5,6,
2008,,False,5,6,
2009,,False,5,6,
2010,,False,5,6,
2011,,False,5,6,
2012,,False,5,6,
2013,,False,5,6,
2014,,False,5,6,
2015,,False,5,6,
2016,,False,5,6,
2017,,False,5,6,
2018,,False,5,6,
2019,,False,5,6,
2020,,False,5,6,
2021,,False,5,6,
2022,,False,4,6,
2023,,False,3,6,
2024,,False,2,6,
2025,,False,2,6,
