chain,lag,r,ci_lo,ci_hi,n,p,p_lag_search,status,block_length,start_year,end_year,n_shifts,q_all_lags,family_size
Drought affected allocation → Famine deaths,-2,,,,0,,,Need 20 contiguous observed annual values; longest run=18,,,,,,104
Drought affected allocation → Famine deaths,-1,,,,0,,,Need 20 contiguous observed annual values; longest run=18,,,,,,104
Drought affected allocation → Famine deaths,0,,,,0,,,Need 20 contiguous observed annual values; longest run=18,,,,,,104
Drought affected allocation → Famine deaths,1,,,,0,,,Need 20 contiguous observed annual values; longest run=18,,,,,,104
Drought affected allocation → Famine deaths,2,,,,0,,,Need 20 contiguous observed annual values; longest run=18,,,,,,104
Drought affected allocation → Famine deaths,3,,,,0,,,Need 20 contiguous observed annual values; longest run=18,,,,,,104
Drought affected allocation → Famine deaths,4,,,,0,,,Need 20 contiguous observed annual values; longest run=18,,,,,,104
Drought affected allocation → Famine deaths,5,,,,0,,,Need 20 contiguous observed annual values; longest run=18,,,,,,104
Drought affected allocation → Famine deaths,6,,,,0,,,Need 20 contiguous observed annual values; longest run=18,,,,,,104
Drought affected allocation → Famine deaths,7,,,,0,,,Need 20 contiguous observed annual values; longest run=18,,,,,,104
Drought affected allocation → Famine deaths,8,,,,0,,,Need 20 contiguous observed annual values; longest run=18,,,,,,104
Drought affected allocation → Famine deaths,9,,,,0,,,Need 20 contiguous observed annual values; longest run=18,,,,,,104
Drought affected allocation → Famine deaths,10,,,,0,,,Need 20 contiguous observed annual values; longest run=18,,,,,,104
Interstate (basileia) → Famine deaths,-2,0.29540258275987613,-0.011476372223179574,0.5190548294653723,122,0.024193548387096774,0.18548387096774194,exploratory,5.0,1900.0,2023.0,123.0,0.5032258064516129,104
Interstate (basileia) → Famine deaths,-1,0.31008591616055237,0.0028234730407142817,0.5428797282315473,123,0.016129032258064516,0.11290322580645161,exploratory,5.0,1900.0,2023.0,123.0,0.5032258064516129,104
Interstate (basileia) → Famine deaths,0,0.31845963209433725,0.020757321868470357,0.5731144009619996,124,0.008064516129032258,0.08870967741935484,exploratory,5.0,1900.0,2023.0,123.0,0.5032258064516129,104
Interstate (basileia) → Famine deaths,1,0.24017410046630258,-0.02005816696148441,0.47245618242681775,123,0.10483870967741936,0.5241935483870968,exploratory,5.0,1900.0,2023.0,123.0,0.9086021505376345,104
Interstate (basileia) → Famine deaths,2,0.18988578463924288,-0.034075170411466155,0.42756370476959027,122,0.22580645161290322,0.8387096774193549,exploratory,5.0,1900.0,2023.0,123.0,1.0,104
