direction,lag_order,p,n,start_year,end_year,q,fdr_significant,family_size
Wars (combined) → Famines,1,0.01752598918161623,124,1900,2023,0.26120544268309875,False,30
Wars (combined) → Famines,2,0.035923721279276614,124,1900,2023,0.26942790959457463,False,30
Wars (combined) → Famines,3,0.08976957690673722,124,1900,2023,0.4759313629008952,False,30
Wars (combined) → Famines,4,0.13809099676738015,124,1900,2023,0.5533196673498976,False,30
Wars (combined) → Famines,5,0.026120544268309877,124,1900,2023,0.26120544268309875,False,30
Famines → Wars (combined),1,0.679265933868838,124,1900,2023,0.8570069870396669,False,30
Famines → Wars (combined),2,0.4471384619543366,124,1900,2023,0.8570069870396669,False,30
Famines → Wars (combined),3,0.7713062883357003,124,1900,2023,0.8570069870396669,False,30
Famines → Wars (combined),4,0.7710739047237636,124,1900,2023,0.8570069870396669,False,30
Famines → Wars (combined),5,0.9464675382541364,124,1900,2023,0.9464675382541364,False,30
Interstate (basileia) → Famines,1,0.5477683999234639,124,1900,2023,0.8570069870396669,False,30
Interstate (basileia) → Famines,2,0.5752911493192018,124,1900,2023,0.8570069870396669,False,30
Interstate (basileia) → Famines,3,0.15373268996976205,124,1900,2023,0.5533196673498976,False,30
Interstate (basileia) → Famines,4,0.09518627258017905,124,1900,2023,0.4759313629008952,False,30
Interstate (basileia) → Famines,5,0.023691433916007705,124,1900,2023,0.26120544268309875,False,30
Famines → Interstate (basileia),1,0.3644187369295982,124,1900,2023,0.8570069870396669,False,30
Famines → Interstate (basileia),2,0.6502629595992596,124,1900,2023,0.8570069870396669,False,30
Famines → Interstate (basileia),3,0.676640384898844,124,1900,2023,0.8570069870396669,False,30
Famines → Interstate (basileia),4,0.8258972045521539,124,1900,2023,0.8848898620201648,False,30
Famines → Interstate (basileia),5,0.8752892510837288,124,1900,2023,0.9054716390521332,False,30
Intrastate (ethnos) → Famines,1,0.24144221425390297,124,1900,2023,0.6584787661470082,False,30
Intrastate (ethnos) → Famines,2,0.19524332034801672,124,1900,2023,0.5857299610440502,False,30
Intrastate (ethnos) → Famines,3,0.4793513518939504,124,1900,2023,0.8570069870396669,False,30
Intrastate (ethnos) → Famines,4,0.5542060468097874,124,1900,2023,0.8570069870396669,False,30
Intrastate (ethnos) → Famines,5,0.5836920453060455,124,1900,2023,0.8570069870396669,False,30
Famines → Intrastate (ethnos),1,0.7132086383815155,124,1900,2023,0.8570069870396669,False,30
Famines → Intrastate (ethnos),2,0.16599590020496927,124,1900,2023,0.5533196673498976,False,30
Famines → Intrastate (ethnos),3,0.3857605733264883,124,1900,2023,0.8570069870396669,False,30
Famines → Intrastate (ethnos),4,0.5963326921831793,124,1900,2023,0.8570069870396669,False,30
Famines → Intrastate (ethnos),5,0.7461064621465721,124,1900,2023,0.8570069870396669,False,30
