country,market_id,commodity_id,commodity,currency,unit,food_unit_original,food_unit_kg,food_normalized_unit,food_price_type,wage_series_signature,series_id,baseline_months,baseline_year_counts,baseline_geometric_mean,eligible,eligibility_reason,weight
YEM,1945,64,Rice (imported),YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",00686c620b8ab25779235ffbe6fd92d4d32bbce083c1430aa09b442643964c8d,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",5.366062501108252,False,insufficient fixed baseline coverage,
YEM,199,58,Wheat flour,YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",03beafd8ca78b298ba787bb3f205c0c759a4630f3b6c4fe56a9b142172c74b34,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",12.62739181163036,False,insufficient fixed baseline coverage,
YEM,193,64,Rice (imported),YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",04bea04bb7de3702df878c36912b59c8d22ee7a9187151df06fabf5daa3fda22,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",4.436740470786398,False,insufficient fixed baseline coverage,
YEM,1946,64,Rice (imported),YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",05e37a00769cef6f176c57171bafa283e5235ec98e1aaf3a84a64f7636a547c0,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",6.195100777833181,False,insufficient fixed baseline coverage,
YEM,194,64,Rice (imported),YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",10dba4ae5742f31fead264bb2216366f7b2ece642d16bcd2fd2bc90434e496da,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",3.8038315778866165,False,insufficient fixed baseline coverage,
YEM,1947,64,Rice (imported),YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",13ae1a46b9efcef12b950e1ddc0920b023932fe4004ff4a8efb30644c312a6fc,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",3.8449515025227625,False,insufficient fixed baseline coverage,
YEM,1933,84,Wheat,YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",1443f97078040e13aa51ed6a2274606c5feea04529f736cb0d3ee87b4933dff3,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",18.054149332087608,False,insufficient fixed baseline coverage,
YEM,192,84,Wheat,YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",16f6d03def5895d7ff3b05967a053a9d93d9708253afb9e4a24b8afa73ee6742,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",25.174359619756856,False,insufficient fixed baseline coverage,
YEM,1941,58,Wheat flour,YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",1958045e291a17e76566284dfb06c217de819b1df3b9df9d2ba8f38fb185136a,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",21.394649759333007,False,insufficient fixed baseline coverage,
YEM,2370,64,Rice (imported),YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",1ccd7dd6e0f071bf3793d45efea23e60ef3ac04baf0aa442d759987deda93927,26,"{""2015"":0,""2016"":6,""2017"":12,""2018"":8,""2019"":0}",3.9749119703150484,False,insufficient fixed baseline coverage,
YEM,1936,64,Rice (imported),YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",1fbccd1eff430ad3a6b5cb68fe5644a6b8064940fc6e798590476161f7ee7ec7,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",5.458496080332075,False,insufficient fixed baseline coverage,
YEM,1936,84,Wheat,YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",24b10047bf4df91ab884a5128d7ea85fd837454035f9ba816d43b08d64812f40,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",19.240292474649948,False,insufficient fixed baseline coverage,
YEM,1934,58,Wheat flour,YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",273877be30304d7fe184412482b7caed2c4f51938d8b79a4af11366b8f651904,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",13.234167050627939,False,insufficient fixed baseline coverage,
YEM,1947,58,Wheat flour,YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",273dd18e76057227455e4ea15bd61afc9d1424ba60c028467730c820e60d926c,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",12.068182216512534,False,insufficient fixed baseline coverage,
YEM,193,58,Wheat flour,YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",306d201100e14d9a696d506758e93d216475aa078a808d326987f7aedf630637,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",12.703477610778434,False,insufficient fixed baseline coverage,
YEM,192,58,Wheat flour,YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",30993d1072cf1f8eddc0fbdfda3148fdab20e228ac75116bd77b4661c1777cb9,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",23.768440768822945,False,insufficient fixed baseline coverage,
YEM,1933,58,Wheat flour,YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",3159af661b6b223928bd48874f7cecccf496fe6bb68e6e2b61d7de97e72a3319,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",15.63406152565305,False,insufficient fixed baseline coverage,
YEM,1942,64,Rice (imported),YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",324e0fd11ceafee12b500b7ddd9b421554caa356a3399684f1931c1d10f86738,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",4.559647918209564,False,insufficient fixed baseline coverage,
ETH,1831,64,Rice (imported),ETB,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""ETB"",""pricetype"":""Retail"",""unit"":""DAY""}",392b04188d489972563909518164a45cdb33e2240c9b5309509026302406645f,1,"{""2015"":1,""2016"":0,""2017"":0,""2018"":0,""2019"":0}",3.8888888888888893,False,insufficient fixed baseline coverage,
YEM,1934,84,Wheat,YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",3ec9259b244ba7920b50fc7b4db9d7187503af626b4c8348429bde5187b0f24a,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",15.859842589851832,False,insufficient fixed baseline coverage,
YEM,1943,65,Sorghum,YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",443db48885e22637242e2209fd1cf89373ba591321e8c981f4985de9ad9a254c,41,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":10}",12.536619502606126,False,insufficient fixed baseline coverage,
YEM,2370,65,Sorghum,YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",4446d6e88d344db1be74b4a651523729ada47297e151728c9dce6343c73e5e83,26,"{""2015"":0,""2016"":6,""2017"":12,""2018"":8,""2019"":0}",7.121208125444217,False,insufficient fixed baseline coverage,
YEM,1936,58,Wheat flour,YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",46ca8ce8433f922dd88c6038c5ffc9dbf62bc4293abc3fb741f58771602c432f,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",13.484096232959951,False,insufficient fixed baseline coverage,
YEM,1940,64,Rice (imported),YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",4a23de60989631471df03b60f64b2b6a2c137256c3b4639da5b0dd7379dd67ea,42,"{""2015"":0,""2016"":6,""2017"":12,""2018"":12,""2019"":12}",4.2460687073086145,False,insufficient fixed baseline coverage,
YEM,1941,84,Wheat,YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",4fd043e15bc3d926889a31ea203a024cbde53d251ec7b86bf7a8120e6e8c3c8c,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",24.264020274270727,False,insufficient fixed baseline coverage,
YEM,1937,58,Wheat flour,YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",58e7448290a13497a4a67bd6e589f0903f6faff246b341dea6861a965dc7197c,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",18.61916305008412,False,insufficient fixed baseline coverage,
YEM,1938,64,Rice (imported),YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",5ffbf9139cd815b38f7533abd45747b4e05c83499012c9f84afc6536c0bae6c4,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",6.4088596715729675,False,insufficient fixed baseline coverage,
YEM,195,58,Wheat flour,YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",61dd31403fc2dd3343161f6063aa5f3c0482c133ea3fd031848e77e0d1ffde7a,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",15.543985241517081,False,insufficient fixed baseline coverage,
YEM,1944,58,Wheat flour,YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",66911de236e2b324d87c8bbffae12d75d4ac1192eb0a72845d0aba5eace1dfcd,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",14.527089369021848,False,insufficient fixed baseline coverage,
YEM,1946,58,Wheat flour,YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",67fc7193a3a9691b233cfaa1d1142ac22401ca089a4a6bc8ddb2e180cfa9e9d0,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",13.976548137323487,False,insufficient fixed baseline coverage,
YEM,194,58,Wheat flour,YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",69e54381bcc36e5b503e9c724bd92bf4c9f90bf96fbbbd097671a5d4d18af4f8,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",10.81878465699664,False,insufficient fixed baseline coverage,
YEM,1944,64,Rice (imported),YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",6beff9cb18b82886e1d912e8bb84a2113faec29afa57b8ba038b252ba159b86b,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",4.963143402569328,False,insufficient fixed baseline coverage,
YEM,199,64,Rice (imported),YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",7041fb7dc6e8acf28968ec9e148c8cf6eb4b34935ff684fe333f085637df2b23,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",4.982340124112215,False,insufficient fixed baseline coverage,
YEM,197,58,Wheat flour,YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",778ac7f4940541929572f6127ff74e6c1b0ab88c349eea06a9756a2f32e80ef3,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",15.860412843334625,False,insufficient fixed baseline coverage,
YEM,197,64,Rice (imported),YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",779c6c996f3a40607694965a4ce1bd9ff7fbefece79807989a22b45808a5b064,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",5.555530073384563,False,insufficient fixed baseline coverage,
YEM,1934,65,Sorghum,YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",780863bdaf3fd70c7ef6bc1a2e51642853056e8359cd880b6e676194688b527f,41,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":10}",7.025398406688862,False,insufficient fixed baseline coverage,
YEM,1942,58,Wheat flour,YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",7984fbd37bb0e6d34d8ab7b48cc2b4b31a6b00909b4b9688f73add28b99f9a1d,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",12.100661909438648,False,insufficient fixed baseline coverage,
YEM,193,84,Wheat,YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",855b95720a28db8b5d4c3593afda947e4e606ec4bfbc38f3c0615d5cb7683dd4,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",15.042495412964705,False,insufficient fixed baseline coverage,
YEM,195,84,Wheat,YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",882d061aac7580730f18197fc1248d29b5619ba55f5e44a11109aa9e0dd6c902,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",16.907985002551083,False,insufficient fixed baseline coverage,
YEM,198,84,Wheat,YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",8919523eaffd87fa540642efb130a33d13eec1df055fce566b51835cd52279b3,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",18.18212890596463,False,insufficient fixed baseline coverage,
YEM,1943,64,Rice (imported),YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",895178c6e8db56bfe89c0e3008bca06b58ac5befee97cb4dde556d8f2f3b8cb9,43,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":12}",4.960412804465968,False,insufficient fixed baseline coverage,
YEM,197,65,Sorghum,YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",89da5a1f3f40ebbed59ef706eab2d26592a4db17045501ebcc50617a2e9d2e4f,38,"{""2015"":0,""2016"":7,""2017"":12,""2018"":12,""2019"":7}",12.158589664740251,False,insufficient fixed baseline coverage,
ETH,1831,67,Maize (white),ETB,kg/day_wage,100 KG,100.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""ETB"",""pricetype"":""Retail"",""unit"":""DAY""}",8ffdb21cbac325a474cb883592e59c8e2c9a21b5a8520b6f1b4e4232299b9f40,1,"{""2015"":1,""2016"":0,""2017"":0,""2018"":0,""2019"":0}",10.76923076923077,False,insufficient fixed baseline coverage,
YEM,2370,84,Wheat,YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",910efac259b64034dfa52b6f97bf4905ba68c2f0c252759dfafa82cc1846693a,26,"{""2015"":0,""2016"":6,""2017"":12,""2018"":8,""2019"":0}",12.176179770878328,False,insufficient fixed baseline coverage,
YEM,1940,58,Wheat flour,YER,kg/day_wage,KG,1.0,KG,Retail,"{""commodity"":""Wage (non-qualified labour)"",""commodity_id"":""277"",""currency"":""YER"",""pricetype"":""Retail"",""unit"":""DAY""}",927ba1e25eb41b6abae03491f756a950d034516a1c693b165e388ffad861f161,42,"{""2015"":0,""2016"":6,""2017"":12,""2018"":12,""2019"":12}",12.948204057196447,False,insufficient fixed baseline coverage,
