family,pair_id,country,predictor,response,lag_years,sample_years,response_start_year,response_end_year,predictor_start_year,predictor_end_year,sample_sha256,transform,regime_breakpoints,fit,n,minimum_years,control_columns,n_controls,rank,df_resid,status,reason,partial_r,beta,beta_ci_low,beta_ci_high,p_hac,q_family,family_size,reject_fdr
regional,ISR__conflict_total_deaths_per_100k__refugees_origin_stock_change__lag0,ISR,conflict_total_deaths_per_100k,refugees_origin_stock_change,0,,,,,,df87bdde692083e24cdb9fb667d064fa1b6d7147c61f6c4150eff45e7615817b,signed_log1p,,baseline_time_regime,0,12,,0,,,unavailable,insufficient_contiguous_years,,,,,,1.0,144,False
regional,ISR__conflict_total_deaths_per_100k__refugees_origin_stock_change__lag0,ISR,conflict_total_deaths_per_100k,refugees_origin_stock_change,0,,,,,,df87bdde692083e24cdb9fb667d064fa1b6d7147c61f6c4150eff45e7615817b,signed_log1p,,climate_adjusted,0,12,rni_response;dmi_response,2,,,unavailable,insufficient_contiguous_years,,,,,,1.0,144,False
regional,ISR__conflict_total_deaths_per_100k__refugees_origin_stock_change__lag1,ISR,conflict_total_deaths_per_100k,refugees_origin_stock_change,1,,,,,,73577a7f2b926b2b97a351dde0da3d6a71a47ba1b81a15f0b393e91d063012b7,signed_log1p,,baseline_time_regime,0,12,,0,,,unavailable,insufficient_contiguous_years,,,,,,1.0,144,False
regional,ISR__conflict_total_deaths_per_100k__refugees_origin_stock_change__lag1,ISR,conflict_total_deaths_per_100k,refugees_origin_stock_change,1,,,,,,73577a7f2b926b2b97a351dde0da3d6a71a47ba1b81a15f0b393e91d063012b7,signed_log1p,,climate_adjusted,0,12,rni_response;dmi_response;rni_predictor;dmi_predictor,4,,,unavailable,insufficient_contiguous_years,,,,,,1.0,144,False
regional,ISR__conflict_total_deaths_per_100k__refugees_origin_stock_change__lag2,ISR,conflict_total_deaths_per_100k,refugees_origin_stock_change,2,,,,,,73577a7f2b926b2b97a351dde0da3d6a71a47ba1b81a15f0b393e91d063012b7,signed_log1p,,baseline_time_regime,0,12,,0,,,unavailable,insufficient_contiguous_years,,,,,,1.0,144,False
regional,ISR__conflict_total_deaths_per_100k__refugees_origin_stock_change__lag2,ISR,conflict_total_deaths_per_100k,refugees_origin_stock_change,2,,,,,,73577a7f2b926b2b97a351dde0da3d6a71a47ba1b81a15f0b393e91d063012b7,signed_log1p,,climate_adjusted,0,12,rni_response;dmi_response;rni_predictor;dmi_predictor,4,,,unavailable,insufficient_contiguous_years,,,,,,1.0,144,False
regional,ISR__conflict_total_deaths_per_100k__ipc_current_3plus_fraction__lag0,ISR,conflict_total_deaths_per_100k,ipc_current_3plus_fraction,0,,,,,,df87bdde692083e24cdb9fb667d064fa1b6d7147c61f6c4150eff45e7615817b,signed_log1p,,baseline_time_regime,0,12,,0,,,unavailable,insufficient_contiguous_years,,,,,,1.0,144,False
regional,ISR__conflict_total_deaths_per_100k__ipc_current_3plus_fraction__lag0,ISR,conflict_total_deaths_per_100k,ipc_current_3plus_fraction,0,,,,,,df87bdde692083e24cdb9fb667d064fa1b6d7147c61f6c4150eff45e7615817b,signed_log1p,,climate_adjusted,0,12,rni_response;dmi_response,2,,,unavailable,insufficient_contiguous_years,,,,,,1.0,144,False
regional,ISR__conflict_total_deaths_per_100k__ipc_current_3plus_fraction__lag1,ISR,conflict_total_deaths_per_100k,ipc_current_3plus_fraction,1,,,,,,73577a7f2b926b2b97a351dde0da3d6a71a47ba1b81a15f0b393e91d063012b7,signed_log1p,,baseline_time_regime,0,12,,0,,,unavailable,insufficient_contiguous_years,,,,,,1.0,144,False
regional,ISR__conflict_total_deaths_per_100k__ipc_current_3plus_fraction__lag1,ISR,conflict_total_deaths_per_100k,ipc_current_3plus_fraction,1,,,,,,73577a7f2b926b2b97a351dde0da3d6a71a47ba1b81a15f0b393e91d063012b7,signed_log1p,,climate_adjusted,0,12,rni_response;dmi_response;rni_predictor;dmi_predictor,4,,,unavailable,insufficient_contiguous_years,,,,,,1.0,144,False
