country,stream_id,target_start,target_iso_year,target_iso_week,baseline_center_iso_year,baseline_center_iso_week,week53_mapped_to52,window_start,window_end,expected_weeks,eligible_weeks,qualified,positive_specimens,tested_specimens,positivity,excluded_week_reasons
ETH,53b5453d29f812a883a9,2025-08-25,2025,35,2020,35,False,2020-08-10,2020-09-13,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-08-25,2025,35,2021,35,False,2021-08-16,2021-09-19,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-08-25,2025,35,2022,35,False,2022-08-15,2022-09-18,5,4,True,52.0,662.0,0.07854984894259819,"{""low_testing"":1}"
ETH,53b5453d29f812a883a9,2025-08-25,2025,35,2023,35,False,2023-08-14,2023-09-17,5,5,True,22.0,908.0,0.024229074889867842,{}
ETH,53b5453d29f812a883a9,2025-08-25,2025,35,2024,35,False,2024-08-12,2024-09-15,5,5,True,85.0,801.0,0.10611735330836454,{}
ETH,53b5453d29f812a883a9,2025-09-01,2025,36,2020,36,False,2020-08-17,2020-09-20,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-09-01,2025,36,2021,36,False,2021-08-23,2021-09-26,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-09-01,2025,36,2022,36,False,2022-08-22,2022-09-25,5,4,True,36.0,583.0,0.06174957118353345,"{""low_testing"":1}"
ETH,53b5453d29f812a883a9,2025-09-01,2025,36,2023,36,False,2023-08-21,2023-09-24,5,5,True,30.0,913.0,0.03285870755750274,{}
ETH,53b5453d29f812a883a9,2025-09-01,2025,36,2024,36,False,2024-08-19,2024-09-22,5,5,True,78.0,777.0,0.10038610038610038,{}
ETH,53b5453d29f812a883a9,2025-09-08,2025,37,2020,37,False,2020-08-24,2020-09-27,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-09-08,2025,37,2021,37,False,2021-08-30,2021-10-03,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-09-08,2025,37,2022,37,False,2022-08-29,2022-10-02,5,4,True,25.0,601.0,0.04159733777038269,"{""low_testing"":1}"
ETH,53b5453d29f812a883a9,2025-09-08,2025,37,2023,37,False,2023-08-28,2023-10-01,5,5,True,30.0,857.0,0.03500583430571762,{}
ETH,53b5453d29f812a883a9,2025-09-08,2025,37,2024,37,False,2024-08-26,2024-09-29,5,5,True,55.0,666.0,0.08258258258258258,{}
ETH,53b5453d29f812a883a9,2025-09-15,2025,38,2020,38,False,2020-08-31,2020-10-04,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-09-15,2025,38,2021,38,False,2021-09-06,2021-10-10,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-09-15,2025,38,2022,38,False,2022-09-05,2022-10-09,5,4,True,21.0,611.0,0.03436988543371522,"{""low_testing"":1}"
ETH,53b5453d29f812a883a9,2025-09-15,2025,38,2023,38,False,2023-09-04,2023-10-08,5,5,True,32.0,761.0,0.04204993429697766,{}
ETH,53b5453d29f812a883a9,2025-09-15,2025,38,2024,38,False,2024-09-02,2024-10-06,5,5,True,52.0,644.0,0.08074534161490683,{}
ETH,53b5453d29f812a883a9,2025-09-22,2025,39,2020,39,False,2020-09-07,2020-10-11,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-09-22,2025,39,2021,39,False,2021-09-13,2021-10-17,5,0,False,,,,"{""unobserved_week"":5}"
ETH,53b5453d29f812a883a9,2025-09-22,2025,39,2022,39,False,2022-09-12,2022-10-16,5,5,True,25.0,813.0,0.03075030750307503,{}
