source_row,country,stream_id,period_start,period_end,reason,source_provisional
1,ETH,,2010-04-12,2010-04-18,excluded_non_sentinel,True
2,ETH,,2010-11-08,2010-11-14,excluded_non_sentinel,True
3,ETH,,2012-04-02,2012-04-08,excluded_non_sentinel,True
4,ETH,,2012-04-23,2012-04-29,excluded_non_sentinel,True
5,ETH,,2012-05-21,2012-05-27,excluded_non_sentinel,True
6,ETH,,2012-07-02,2012-07-08,excluded_non_sentinel,True
7,ETH,,2012-07-09,2012-07-15,excluded_non_sentinel,True
8,ETH,,2012-09-17,2012-09-23,excluded_non_sentinel,True
9,ETH,,2012-10-01,2012-10-07,excluded_non_sentinel,True
10,ETH,,2012-10-08,2012-10-14,excluded_non_sentinel,True
11,ETH,,2012-10-22,2012-10-28,excluded_non_sentinel,True
12,ETH,,2012-11-05,2012-11-11,excluded_non_sentinel,True
13,ETH,,2012-11-12,2012-11-18,excluded_non_sentinel,True
14,ETH,,2012-11-19,2012-11-25,excluded_non_sentinel,True
15,ETH,,2012-11-26,2012-12-02,excluded_non_sentinel,True
16,ETH,,2012-12-03,2012-12-09,excluded_non_sentinel,True
17,ETH,,2012-12-10,2012-12-16,excluded_non_sentinel,True
18,ETH,,2012-12-17,2012-12-23,excluded_non_sentinel,True
19,ETH,,2012-12-24,2012-12-30,excluded_non_sentinel,True
20,ETH,,2013-01-28,2013-02-03,excluded_non_sentinel,True
21,ETH,,2013-02-25,2013-03-03,excluded_non_sentinel,True
22,ETH,,2013-03-04,2013-03-10,excluded_non_sentinel,True
23,ETH,,2013-03-11,2013-03-17,excluded_non_sentinel,True
24,ETH,,2013-03-18,2013-03-24,excluded_non_sentinel,True
25,ETH,,2013-03-25,2013-03-31,excluded_non_sentinel,True
26,ETH,,2013-04-01,2013-04-07,excluded_non_sentinel,True
27,ETH,,2013-04-08,2013-04-14,excluded_non_sentinel,True
28,ETH,,2013-04-22,2013-04-28,excluded_non_sentinel,True
29,ETH,,2013-05-13,2013-05-19,excluded_non_sentinel,True
