country,stream_id,source_id,source_version,dimensions,source_url,period_start,period_end,iso_year,iso_week,latest_expected_week,status,numerator,denominator,observed_positivity,baseline_positivity,difference_percentage_points,positivity_ratio,ratio_status,qualified_baseline_windows,required_baseline_windows,planned_baseline_windows,eligible_baseline_weeks,baseline_specimens,source_provisional,observed_period_end,reporting_site_coverage
ETH,53b5453d29f812a883a9,who,FluNet live,"{""surveillance_origin"":""SENTINEL""}",https://xmart-api-public.who.int/FLUMART/VIW_FNT,2025-08-25,2025-08-31,2025,35,False,available,4.0,138.0,0.028985507246376812,0.07854984894259819,-4.956434169622137,0.3690078037904125,available,3,3,5,14,2371.0,True,2025-08-31,unverified
ETH,53b5453d29f812a883a9,who,FluNet live,"{""surveillance_origin"":""SENTINEL""}",https://xmart-api-public.who.int/FLUMART/VIW_FNT,2025-09-01,2025-09-07,2025,36,False,available,9.0,113.0,0.07964601769911504,0.06174957118353345,1.7896446515581594,1.2898230088495575,available,3,3,5,14,2273.0,True,2025-09-07,unverified
ETH,53b5453d29f812a883a9,who,FluNet live,"{""surveillance_origin"":""SENTINEL""}",https://xmart-api-public.who.int/FLUMART/VIW_FNT,2025-09-08,2025-09-14,2025,37,False,available,9.0,203.0,0.04433497536945813,0.04159733777038269,0.27376375990754365,1.0658128078817735,available,3,3,5,14,2124.0,True,2025-09-14,unverified
ETH,53b5453d29f812a883a9,who,FluNet live,"{""surveillance_origin"":""SENTINEL""}",https://xmart-api-public.who.int/FLUMART/VIW_FNT,2025-09-15,2025-09-21,2025,38,False,available,13.0,153.0,0.08496732026143791,0.04204993429697766,4.291738596446025,2.0206290849673203,available,3,3,5,14,2016.0,True,2025-09-21,unverified
ETH,53b5453d29f812a883a9,who,FluNet live,"{""surveillance_origin"":""SENTINEL""}",https://xmart-api-public.who.int/FLUMART/VIW_FNT,2025-09-22,2025-09-28,2025,39,False,available,22.0,134.0,0.16417910447761194,0.046831955922865015,11.734714855474692,3.5057067603160665,available,3,3,5,14,2033.0,True,2025-09-28,unverified
ETH,53b5453d29f812a883a9,who,FluNet live,"{""surveillance_origin"":""SENTINEL""}",https://xmart-api-public.who.int/FLUMART/VIW_FNT,2025-09-29,2025-10-05,2025,40,False,available,35.0,237.0,0.14767932489451477,0.058931860036832415,8.874746485768235,2.5059335443037973,available,3,3,5,14,2204.0,True,2025-10-05,unverified
ETH,53b5453d29f812a883a9,who,FluNet live,"{""surveillance_origin"":""SENTINEL""}",https://xmart-api-public.who.int/FLUMART/VIW_FNT,2025-10-06,2025-10-12,2025,41,False,available,13.0,168.0,0.07738095238095238,0.045368620037807186,3.2012332343145196,1.7056051587301586,available,3,3,5,14,2272.0,True,2025-10-12,unverified
ETH,53b5453d29f812a883a9,who,FluNet live,"{""surveillance_origin"":""SENTINEL""}",https://xmart-api-public.who.int/FLUMART/VIW_FNT,2025-10-13,2025-10-19,2025,42,False,available,13.0,222.0,0.05855855855855856,0.04981549815498155,0.8743060403577009,1.1755088421755089,available,3,3,5,14,2432.0,True,2025-10-19,unverified
ETH,53b5453d29f812a883a9,who,FluNet live,"{""surveillance_origin"":""SENTINEL""}",https://xmart-api-public.who.int/FLUMART/VIW_FNT,2025-10-20,2025-10-26,2025,43,False,insufficient_baseline,19.0,189.0,0.10052910052910052,,,,unavailable,2,3,5,10,2032.0,True,2025-10-26,unverified
ETH,53b5453d29f812a883a9,who,FluNet live,"{""surveillance_origin"":""SENTINEL""}",https://xmart-api-public.who.int/FLUMART/VIW_FNT,2025-10-27,2025-11-02,2025,44,False,available,6.0,161.0,0.037267080745341616,0.0595903165735568,-2.232323582821518,0.625388198757764,available,3,3,5,14,2557.0,True,2025-11-02,unverified
ETH,53b5453d29f812a883a9,who,FluNet live,"{""surveillance_origin"":""SENTINEL""}",https://xmart-api-public.who.int/FLUMART/VIW_FNT,2025-11-03,2025-11-09,2025,45,False,available,15.0,200.0,0.075,0.107421875,-3.2421875000000004,0.6981818181818181,available,3,3,5,14,2507.0,True,2025-11-09,unverified
ETH,53b5453d29f812a883a9,who,FluNet live,"{""surveillance_origin"":""SENTINEL""}",https://xmart-api-public.who.int/FLUMART/VIW_FNT,2025-11-10,2025-11-16,2025,46,False,low_testing,8.0,99.0,,0.15060240963855423,,,unavailable,3,3,5,14,2546.0,True,2025-11-16,unverified
ETH,53b5453d29f812a883a9,who,FluNet live,"{""surveillance_origin"":""SENTINEL""}",https://xmart-api-public.who.int/FLUMART/VIW_FNT,2025-11-17,2025-11-23,2025,47,False,available,11.0,124.0,0.08870967741935484,0.15619047619047619,-6.748079877112135,0.5679583005507475,available,3,3,5,14,2538.0,True,2025-11-23,unverified
ETH,53b5453d29f812a883a9,who,FluNet live,"{""surveillance_origin"":""SENTINEL""}",https://xmart-api-public.who.int/FLUMART/VIW_FNT,2025-11-24,2025-11-30,2025,48,False,low_testing,1.0,86.0,,0.15619047619047619,,,unavailable,3,3,5,14,2529.0,True,2025-11-30,unverified
ETH,53b5453d29f812a883a9,who,FluNet live,"{""surveillance_origin"":""SENTINEL""}",https://xmart-api-public.who.int/FLUMART/VIW_FNT,2025-12-01,2025-12-07,2025,49,False,available,4.0,109.0,0.03669724770642202,0.14940239043824702,-11.2705142731825,0.2456269113149847,available,3,3,5,14,2542.0,True,2025-12-07,unverified
ETH,53b5453d29f812a883a9,who,FluNet live,"{""surveillance_origin"":""SENTINEL""}",https://xmart-api-public.who.int/FLUMART/VIW_FNT,2025-12-08,2025-12-14,2025,50,False,unobserved_week,,,,0.15819750719079578,,,unavailable,3,3,5,14,2448.0,,,unverified
ETH,53b5453d29f812a883a9,who,FluNet live,"{""surveillance_origin"":""SENTINEL""}",https://xmart-api-public.who.int/FLUMART/VIW_FNT,2025-12-15,2025-12-21,2025,51,False,unobserved_week,,,,,,,unavailable,2,3,5,10,1892.0,,,unverified
ETH,53b5453d29f812a883a9,who,FluNet live,"{""surveillance_origin"":""SENTINEL""}",https://xmart-api-public.who.int/FLUMART/VIW_FNT,2025-12-22,2025-12-28,2025,52,False,unobserved_week,,,,,,,unavailable,2,3,5,10,1752.0,,,unverified
ETH,53b5453d29f812a883a9,who,FluNet live,"{""surveillance_origin"":""SENTINEL""}",https://xmart-api-public.who.int/FLUMART/VIW_FNT,2025-12-29,2026-01-04,2026,1,False,available,8.0,105.0,0.0761904761904762,0.09302325581395349,-1.683277962347729,0.8190476190476191,available,3,3,5,14,2182.0,True,2026-01-04,unverified
ETH,53b5453d29f812a883a9,who,FluNet live,"{""surveillance_origin"":""SENTINEL""}",https://xmart-api-public.who.int/FLUMART/VIW_FNT,2026-01-05,2026-01-11,2026,2,False,low_testing,7.0,82.0,,0.08091286307053942,,,unavailable,3,3,5,14,2068.0,True,2026-01-11,unverified
ETH,53b5453d29f812a883a9,who,FluNet live,"{""surveillance_origin"":""SENTINEL""}",https://xmart-api-public.who.int/FLUMART/VIW_FNT,2026-01-12,2026-01-18,2026,3,False,low_testing,4.0,66.0,,0.11538461538461539,,,unavailable,3,3,5,14,2193.0,True,2026-01-18,unverified
ETH,53b5453d29f812a883a9,who,FluNet live,"{""surveillance_origin"":""SENTINEL""}",https://xmart-api-public.who.int/FLUMART/VIW_FNT,2026-01-19,2026-01-25,2026,4,False,low_testing,1.0,52.0,,,,,unavailable,2,3,5,10,1597.0,True,2026-01-25,unverified
ETH,53b5453d29f812a883a9,who,FluNet live,"{""surveillance_origin"":""SENTINEL""}",https://xmart-api-public.who.int/FLUMART/VIW_FNT,2026-01-26,2026-02-01,2026,5,False,low_testing,7.0,72.0,,,,,unavailable,2,3,5,10,1645.0,True,2026-02-01,unverified
ETH,53b5453d29f812a883a9,who,FluNet live,"{""surveillance_origin"":""SENTINEL""}",https://xmart-api-public.who.int/FLUMART/VIW_FNT,2026-02-02,2026-02-08,2026,6,False,low_testing,5.0,47.0,,,,,unavailable,2,3,5,10,1588.0,True,2026-02-08,unverified
ETH,53b5453d29f812a883a9,who,FluNet live,"{""surveillance_origin"":""SENTINEL""}",https://xmart-api-public.who.int/FLUMART/VIW_FNT,2026-02-09,2026-02-15,2026,7,False,unobserved_week,,,,,,,unavailable,2,3,5,10,1609.0,,,unverified
ETH,53b5453d29f812a883a9,who,FluNet live,"{""surveillance_origin"":""SENTINEL""}",https://xmart-api-public.who.int/FLUMART/VIW_FNT,2026-02-16,2026-02-22,2026,8,False,low_testing,6.0,69.0,,,,,unavailable,2,3,5,10,1500.0,True,2026-02-22,unverified
ETH,53b5453d29f812a883a9,who,FluNet live,"{""surveillance_origin"":""SENTINEL""}",https://xmart-api-public.who.int/FLUMART/VIW_FNT,2026-02-23,2026-03-01,2026,9,False,low_testing,3.0,72.0,,,,,unavailable,2,3,5,9,1358.0,True,2026-03-01,unverified
