country,year,metric,value,unit,n_observations,geographic_scope,population_denominator_compatible,quality_note
ETH,2000,asylum_seekers_origin_stock,14551.0,people,1,source country definition,True,Origin-country aggregate. Stocks are not new displacement flows; dash remains missing.
ETH,2000,conflict_battle_deaths,48257.0,deaths,1,UCDP source-country territory,True,UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2000,conflict_battle_deaths_per_100k,71.58571504141415,deaths per 100000 people,1,source country definitions; political borders may differ,,UCDP best estimate / same-country same-year WDI population; territory definitions require care.
ETH,2000,conflict_civilian_targeting_deaths,0.0,deaths,1,UCDP source-country territory,True,UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2000,conflict_civilian_targeting_deaths_per_100k,0.0,deaths per 100000 people,1,source country definitions; political borders may differ,,UCDP best estimate / same-country same-year WDI population; territory definitions require care.
ETH,2000,conflict_nonstate_deaths,409.0,deaths,1,UCDP source-country territory,True,UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2000,conflict_total_deaths,48666.0,deaths,1,UCDP source-country territory,True,UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2000,conflict_total_deaths_per_100k,72.19243650051726,deaths per 100000 people,1,source country definitions; political borders may differ,,UCDP best estimate / same-country same-year WDI population; territory definitions require care.
ETH,2000,population,67411494.0,people,1,source country definition,True,
ETH,2000,refugees_origin_stock,66396.0,people,1,source country definition,True,Origin-country aggregate. Stocks are not new displacement flows; dash remains missing.
ETH,2000,religious_freedom,1.881,V-Dem latent interval score,1,source country definition,True,"Expert-coded freedom of religion; higher = more freedom. Not incident count. PSE unit is West Bank, not combined Palestinian territories."
ETH,2000,returned_refugees_flow,2933.0,people,1,source country definition,True,Origin-country aggregate. Stocks are not new displacement flows; dash remains missing.
ETH,2001,asylum_seekers_origin_stock,12305.0,people,1,source country definition,True,Origin-country aggregate. Stocks are not new displacement flows; dash remains missing.
ETH,2001,conflict_battle_deaths,40.0,deaths,1,UCDP source-country territory,True,UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2001,conflict_battle_deaths_per_100k,0.05756409308447724,deaths per 100000 people,1,source country definitions; political borders may differ,,UCDP best estimate / same-country same-year WDI population; territory definitions require care.
ETH,2001,conflict_civilian_targeting_deaths,0.0,deaths,1,UCDP source-country territory,True,UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2001,conflict_civilian_targeting_deaths_per_100k,0.0,deaths per 100000 people,1,source country definitions; political borders may differ,,UCDP best estimate / same-country same-year WDI population; territory definitions require care.
ETH,2001,conflict_nonstate_deaths,348.0,deaths,1,UCDP source-country territory,True,UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2001,conflict_total_deaths,388.0,deaths,1,UCDP source-country territory,True,UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2001,conflict_total_deaths_per_100k,0.5583717029194292,deaths per 100000 people,1,source country definitions; political borders may differ,,UCDP best estimate / same-country same-year WDI population; territory definitions require care.
ETH,2001,population,69487762.0,people,1,source country definition,True,
ETH,2001,refugees_origin_stock,58980.0,people,1,source country definition,True,Origin-country aggregate. Stocks are not new displacement flows; dash remains missing.
ETH,2001,refugees_origin_stock_change,-7416.0,people net stock change,2,worldwide destinations by source country of origin,,"Net stock change, not newly displaced people; returns/reclassification also contribute."
ETH,2001,religious_freedom,1.881,V-Dem latent interval score,1,source country definition,True,"Expert-coded freedom of religion; higher = more freedom. Not incident count. PSE unit is West Bank, not combined Palestinian territories."
ETH,2001,returned_refugees_flow,9364.0,people,1,source country definition,True,Origin-country aggregate. Stocks are not new displacement flows; dash remains missing.
ETH,2002,asylum_seekers_origin_stock,8956.0,people,1,source country definition,True,Origin-country aggregate. Stocks are not new displacement flows; dash remains missing.
ETH,2002,conflict_battle_deaths,50.0,deaths,1,UCDP source-country territory,True,UCDP territory-coded best estimate; not intensity-band floor. Israel/Palestine source unit and pre-2012 Sudan are excluded from unmatched WDI population rates.
ETH,2002,conflict_battle_deaths_per_100k,0.06979777922172321,deaths per 100000 people,1,source country definitions; political borders may differ,,UCDP best estimate / same-country same-year WDI population; territory definitions require care.
