year,observed_pilot_countries,configured_countries,compound_countries,fraction_fixed_pilot,status
2000,0,8,,,unavailable: incomplete fixed pilot coverage
2001,0,8,,,unavailable: incomplete fixed pilot coverage
2002,0,8,,,unavailable: incomplete fixed pilot coverage
2003,0,8,,,unavailable: incomplete fixed pilot coverage
2004,0,8,,,unavailable: incomplete fixed pilot coverage
2005,0,8,,,unavailable: incomplete fixed pilot coverage
2006,0,8,,,unavailable: incomplete fixed pilot coverage
2007,0,8,,,unavailable: incomplete fixed pilot coverage
2008,0,8,,,unavailable: incomplete fixed pilot coverage
2009,0,8,,,unavailable: incomplete fixed pilot coverage
2010,0,8,,,unavailable: incomplete fixed pilot coverage
2011,0,8,,,unavailable: incomplete fixed pilot coverage
2012,0,8,,,unavailable: incomplete fixed pilot coverage
2013,0,8,,,unavailable: incomplete fixed pilot coverage
2014,0,8,,,unavailable: incomplete fixed pilot coverage
2015,0,8,,,unavailable: incomplete fixed pilot coverage
2016,0,8,,,unavailable: incomplete fixed pilot coverage
2017,0,8,,,unavailable: incomplete fixed pilot coverage
2018,0,8,,,unavailable: incomplete fixed pilot coverage
2019,0,8,,,unavailable: incomplete fixed pilot coverage
2020,0,8,,,unavailable: incomplete fixed pilot coverage
2021,0,8,,,unavailable: incomplete fixed pilot coverage
2022,0,8,,,unavailable: incomplete fixed pilot coverage
2023,0,8,,,unavailable: incomplete fixed pilot coverage
2024,0,8,,,unavailable: incomplete fixed pilot coverage
2025,0,8,,,unavailable: incomplete fixed pilot coverage
