country,year,eligible,extreme_domains,compound_extreme,missing_domains,interpretation,calibration_n_years,calibration_start,calibration_end,calibration_observed_fraction,p_joint,calibration_status,q_joint_country_family
ISR,2000,False,,,"conflict,food,respiratory",Fixed-threshold descriptive year; calibration pertains to whole country time series,0,,,,,unavailable: missing fixed domain/baseline coverage,1.0
ISR,2001,False,,,"conflict,food,respiratory",Fixed-threshold descriptive year; calibration pertains to whole country time series,0,,,,,unavailable: missing fixed domain/baseline coverage,1.0
ISR,2002,False,,,"conflict,food,respiratory",Fixed-threshold descriptive year; calibration pertains to whole country time series,0,,,,,unavailable: missing fixed domain/baseline coverage,1.0
ISR,2003,False,,,"conflict,food,respiratory",Fixed-threshold descriptive year; calibration pertains to whole country time series,0,,,,,unavailable: missing fixed domain/baseline coverage,1.0
ISR,2004,False,,,"conflict,food,respiratory",Fixed-threshold descriptive year; calibration pertains to whole country time series,0,,,,,unavailable: missing fixed domain/baseline coverage,1.0
ISR,2005,False,,,"conflict,food,respiratory",Fixed-threshold descriptive year; calibration pertains to whole country time series,0,,,,,unavailable: missing fixed domain/baseline coverage,1.0
ISR,2006,False,,,"conflict,food,respiratory",Fixed-threshold descriptive year; calibration pertains to whole country time series,0,,,,,unavailable: missing fixed domain/baseline coverage,1.0
ISR,2007,False,,,"conflict,food,respiratory",Fixed-threshold descriptive year; calibration pertains to whole country time series,0,,,,,unavailable: missing fixed domain/baseline coverage,1.0
ISR,2008,False,,,"conflict,food,respiratory",Fixed-threshold descriptive year; calibration pertains to whole country time series,0,,,,,unavailable: missing fixed domain/baseline coverage,1.0
ISR,2009,False,,,"conflict,food,respiratory",Fixed-threshold descriptive year; calibration pertains to whole country time series,0,,,,,unavailable: missing fixed domain/baseline coverage,1.0
ISR,2010,False,,,"conflict,food,respiratory",Fixed-threshold descriptive year; calibration pertains to whole country time series,0,,,,,unavailable: missing fixed domain/baseline coverage,1.0
ISR,2011,False,,,"conflict,food,respiratory",Fixed-threshold descriptive year; calibration pertains to whole country time series,0,,,,,unavailable: missing fixed domain/baseline coverage,1.0
ISR,2012,False,,,"conflict,food,respiratory",Fixed-threshold descriptive year; calibration pertains to whole country time series,0,,,,,unavailable: missing fixed domain/baseline coverage,1.0
ISR,2013,False,,,"conflict,food,respiratory",Fixed-threshold descriptive year; calibration pertains to whole country time series,0,,,,,unavailable: missing fixed domain/baseline coverage,1.0
ISR,2014,False,,,"conflict,food,respiratory",Fixed-threshold descriptive year; calibration pertains to whole country time series,0,,,,,unavailable: missing fixed domain/baseline coverage,1.0
ISR,2015,False,,,"conflict,food,respiratory",Fixed-threshold descriptive year; calibration pertains to whole country time series,0,,,,,unavailable: missing fixed domain/baseline coverage,1.0
ISR,2016,False,,,"conflict,food,respiratory",Fixed-threshold descriptive year; calibration pertains to whole country time series,0,,,,,unavailable: missing fixed domain/baseline coverage,1.0
