name,predictor,month,observed_days,expected_days,reporting_lag_complete,daily_mean_tons,status,transit_decline_yoy
Suez Canal,suez_transit_decline_yoy,2019-01,31,31,True,2264211.3870967743,eligible,
Suez Canal,suez_transit_decline_yoy,2019-02,28,28,True,2424419.0,eligible,
Suez Canal,suez_transit_decline_yoy,2019-03,31,31,True,2361366.9032258065,eligible,
Suez Canal,suez_transit_decline_yoy,2019-04,30,30,True,2526578.7,eligible,
Suez Canal,suez_transit_decline_yoy,2019-05,31,31,True,2449713.064516129,eligible,
Suez Canal,suez_transit_decline_yoy,2019-06,30,30,True,2422853.2666666666,eligible,
Suez Canal,suez_transit_decline_yoy,2019-07,31,31,True,2441479.6129032257,eligible,
Suez Canal,suez_transit_decline_yoy,2019-08,31,31,True,2550195.580645161,eligible,
Suez Canal,suez_transit_decline_yoy,2019-09,30,30,True,2452944.433333333,eligible,
Suez Canal,suez_transit_decline_yoy,2019-10,31,31,True,2569133.6129032257,eligible,
Suez Canal,suez_transit_decline_yoy,2019-11,30,30,True,2448615.9,eligible,
Suez Canal,suez_transit_decline_yoy,2019-12,31,31,True,2426972.0322580645,eligible,
Suez Canal,suez_transit_decline_yoy,2020-01,31,31,True,2498431.129032258,eligible,-0.10344429114271247
Suez Canal,suez_transit_decline_yoy,2020-02,29,29,True,2544808.3103448274,eligible,-0.049656973627424605
Suez Canal,suez_transit_decline_yoy,2020-03,31,31,True,2481735.0322580645,eligible,-0.05097392059989736
Suez Canal,suez_transit_decline_yoy,2020-04,30,30,True,2676787.7666666666,eligible,-0.059451568505135555
Suez Canal,suez_transit_decline_yoy,2020-05,31,31,True,2502767.0967741935,eligible,-0.02165724346518272
Suez Canal,suez_transit_decline_yoy,2020-06,30,30,True,2113771.3,eligible,0.12756941203125283
Suez Canal,suez_transit_decline_yoy,2020-07,31,31,True,2174601.4838709678,eligible,0.10930999694685406
Suez Canal,suez_transit_decline_yoy,2020-08,31,31,True,2300731.580645161,eligible,0.0978215168645572
Suez Canal,suez_transit_decline_yoy,2020-09,30,30,True,2368174.6333333333,eligible,0.03455838577020076
Suez Canal,suez_transit_decline_yoy,2020-10,31,31,True,2354952.7419354836,eligible,0.0833669646031796
Suez Canal,suez_transit_decline_yoy,2020-11,30,30,True,2479080.7666666666,eligible,-0.012441668236601311
Suez Canal,suez_transit_decline_yoy,2020-12,31,31,True,2428052.6774193547,eligible,-0.0004452647772312801
Suez Canal,suez_transit_decline_yoy,2021-01,31,31,True,2324464.806451613,eligible,0.06963022536788077
Suez Canal,suez_transit_decline_yoy,2021-02,28,28,True,2570426.035714286,eligible,-0.01006666209997853
Suez Canal,suez_transit_decline_yoy,2021-03,31,31,True,2180118.806451613,eligible,0.12153441922122477
Suez Canal,suez_transit_decline_yoy,2021-04,30,30,True,2941607.1,eligible,-0.09893176314949548
Suez Canal,suez_transit_decline_yoy,2021-05,31,31,True,2657783.1612903224,eligible,-0.0619378705737057
Suez Canal,suez_transit_decline_yoy,2021-06,30,30,True,2634722.7333333334,eligible,-0.24645591192071414
Suez Canal,suez_transit_decline_yoy,2021-07,31,31,True,2564353.5483870967,eligible,-0.17922919091471345
Suez Canal,suez_transit_decline_yoy,2021-08,31,31,True,2724135.0,eligible,-0.18402990723329404
Suez Canal,suez_transit_decline_yoy,2021-09,30,30,True,2885271.3333333335,eligible,-0.21835243597392928
Suez Canal,suez_transit_decline_yoy,2021-10,31,31,True,2781609.7741935486,eligible,-0.18117434998181947
Suez Canal,suez_transit_decline_yoy,2021-11,30,30,True,2797921.466666667,eligible,-0.12861246970533702
Suez Canal,suez_transit_decline_yoy,2021-12,31,31,True,2762415.935483871,eligible,-0.13770840360016123
Suez Canal,suez_transit_decline_yoy,2022-01,31,31,True,2558814.419354839,eligible,-0.10081873997523316
Suez Canal,suez_transit_decline_yoy,2022-02,28,28,True,2774370.0714285714,eligible,-0.07934250310284163
Suez Canal,suez_transit_decline_yoy,2022-03,31,31,True,2549636.290322581,eligible,-0.16949419581054803
Suez Canal,suez_transit_decline_yoy,2022-04,30,30,True,2820173.2666666666,eligible,0.041281459149773436
Suez Canal,suez_transit_decline_yoy,2022-05,31,31,True,2843718.5161290322,eligible,-0.06995881287337236
Suez Canal,suez_transit_decline_yoy,2022-06,30,30,True,3041544.2,eligible,-0.15440769592934522
Suez Canal,suez_transit_decline_yoy,2022-07,31,31,True,3070258.870967742,eligible,-0.19728376490786337
Suez Canal,suez_transit_decline_yoy,2022-08,31,31,True,3212372.3225806453,eligible,-0.1792265517607039
Suez Canal,suez_transit_decline_yoy,2022-09,30,30,True,3038136.6333333333,eligible,-0.05298125629779005
Suez Canal,suez_transit_decline_yoy,2022-10,31,31,True,3101971.290322581,eligible,-0.11517126489171625
Suez Canal,suez_transit_decline_yoy,2022-11,30,30,True,3139367.033333333,eligible,-0.12203543621024182
Suez Canal,suez_transit_decline_yoy,2022-12,31,31,True,3250501.290322581,eligible,-0.17668785810606602
Suez Canal,suez_transit_decline_yoy,2023-01,31,31,True,3162976.580645161,eligible,-0.23611019100113229
Suez Canal,suez_transit_decline_yoy,2023-02,28,28,True,3140839.25,eligible,-0.13209095006663163
Suez Canal,suez_transit_decline_yoy,2023-03,31,31,True,3398677.5483870967,eligible,-0.3330048530008549
Suez Canal,suez_transit_decline_yoy,2023-04,30,30,True,3564832.8333333335,eligible,-0.26404745249813155
Suez Canal,suez_transit_decline_yoy,2023-05,31,31,True,3538944.9677419355,eligible,-0.24447794240875487
Suez Canal,suez_transit_decline_yoy,2023-06,30,30,True,3473745.1,eligible,-0.1420991679160868
Suez Canal,suez_transit_decline_yoy,2023-07,31,31,True,3205599.5161290322,eligible,-0.044081183655575895
Suez Canal,suez_transit_decline_yoy,2023-08,31,31,True,3247588.419354839,eligible,-0.010962644811328248
Suez Canal,suez_transit_decline_yoy,2023-09,30,30,True,3448617.8666666667,eligible,-0.135109536822565
Suez Canal,suez_transit_decline_yoy,2023-10,31,31,True,3451214.6129032257,eligible,-0.1125875418867357
Suez Canal,suez_transit_decline_yoy,2023-11,30,30,True,3517853.466666667,eligible,-0.12056138365301683
Suez Canal,suez_transit_decline_yoy,2023-12,31,31,True,3066660.064516129,eligible,0.056557807361524715
Suez Canal,suez_transit_decline_yoy,2024-01,31,31,True,1852114.7741935484,eligible,0.41443930204005264
Suez Canal,suez_transit_decline_yoy,2024-02,29,29,True,1592005.7586206896,eligible,0.49312727207522966
Suez Canal,suez_transit_decline_yoy,2024-03,31,31,True,1357345.6129032257,eligible,0.6006253627834219
Suez Canal,suez_transit_decline_yoy,2024-04,30,30,True,1387667.7666666666,eligible,0.6107341265230903
Suez Canal,suez_transit_decline_yoy,2024-05,31,31,True,1349520.677419355,eligible,0.6186658199772934
Suez Canal,suez_transit_decline_yoy,2024-06,30,30,True,1334872.5,eligible,0.615725258597702
Suez Canal,suez_transit_decline_yoy,2024-07,31,31,True,1215554.2903225806,eligible,0.6208028219974151
Suez Canal,suez_transit_decline_yoy,2024-08,31,31,True,1253227.9677419355,eligible,0.6141050509131634
Suez Canal,suez_transit_decline_yoy,2024-09,30,30,True,1222278.9,eligible,0.6455742714163286
Suez Canal,suez_transit_decline_yoy,2024-10,31,31,True,1177375.0,eligible,0.6588519892103811
Suez Canal,suez_transit_decline_yoy,2024-11,30,30,True,1131967.2333333334,eligible,0.6782221760913976
Suez Canal,suez_transit_decline_yoy,2024-12,31,31,True,1191345.2580645161,eligible,0.61151701427576
Suez Canal,suez_transit_decline_yoy,2025-01,31,31,True,1243456.7096774194,eligible,0.3286286967723975
Suez Canal,suez_transit_decline_yoy,2025-02,28,28,True,1178443.2857142857,eligible,0.25977448301739414
